pruning_method,search_type,layers,size,amount,baseline_mAP50_95,pruned_mAP50_95,drop_mAP50_95,baseline_mAP50,pruned_mAP50,drop_mAP50,baseline_latency_ms,pruned_latency_ms,baseline_fps,pruned_fps,zero_percent,model_path,source_csv
l1_unstructured,new_top6_combo,"20,22,8",3,0.2,0.506632,0.505421,0.001212,0.690055,0.688916,0.001139,1.355740,1.270127,737.604461,787.322625,8.005407,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_8_amt_0p20/yolo26n_l1_combo_20_22_8_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_8_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,22,17",4,0.2,0.506632,0.506759,-0.000126,0.690055,0.690440,-0.000385,1.436001,1.355644,696.378179,737.656826,7.901998,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_17_amt_0p20/yolo26n_l1_combo_20_7_22_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"7,10,8,17",4,0.2,0.506632,0.505663,0.000970,0.690055,0.686870,0.003185,1.359146,1.310317,735.756398,763.173870,7.764219,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_10_8_17_amt_0p20/yolo26n_l1_combo_7_10_8_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_10_8_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,22",3,0.2,0.506632,0.508041,-0.001408,0.690055,0.691633,-0.001578,1.431396,1.333292,698.618788,750.023526,7.591815,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_amt_0p20/yolo26n_l1_combo_20_7_22_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,22,10,17",4,0.2,0.506632,0.506721,-0.000089,0.690055,0.688492,0.001564,1.372735,1.342987,728.472463,744.608684,7.498167,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_10_17_amt_0p20/yolo26n_l1_combo_20_22_10_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_10_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"7,10,8",3,0.2,0.506632,0.505409,0.001223,0.690055,0.686795,0.003260,1.359207,1.319080,735.723321,758.104209,7.454035,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_10_8_amt_0p20/yolo26n_l1_combo_7_10_8_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_10_8_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,22,10",3,0.2,0.506632,0.506718,-0.000085,0.690055,0.688192,0.001863,1.379311,1.313622,724.999643,761.253865,7.187983,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_10_amt_0p20/yolo26n_l1_combo_20_22_10_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_10_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"22,8,17",3,0.2,0.506632,0.504844,0.001788,0.690055,0.688434,0.001621,1.357302,1.311783,736.755486,762.321326,7.074899,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_22_8_17_amt_0p20/yolo26n_l1_combo_22_8_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_22_8_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,8,17",4,0.2,0.506632,0.505552,0.001081,0.690055,0.688842,0.001213,1.370287,1.255206,729.774213,796.682204,6.927359,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_8_17_amt_0p20/yolo26n_l1_combo_20_7_8_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_8_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"22,8",2,0.2,0.506632,0.505098,0.001535,0.690055,0.688868,0.001187,1.370441,1.465706,729.692240,682.265100,6.764715,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_22_8_amt_0p20/yolo26n_l1_combo_22_8_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_22_8_amt_0p20/unstructured_pruning_summary.csv
