step,global_candidate_rank_this_step,group_id,root_module,current_channel_index,l1_score,current_root_out_channels,minimum_remaining_out_channels,rejection_reason
118,4,DG016,model.19.cv2.conv,110,9.431092262268066,128,64,would prune protected output root model.23.cv3.1.0.0.conv
119,1,DG010,model.16.cv2.conv,61,8.357481002807617,64,32,would prune protected output root model.23.cv3.0.0.0.conv
119,2,DG010,model.16.cv2.conv,24,9.22789192199707,64,32,would prune protected output root model.23.cv3.0.0.0.conv
119,3,DG010,model.16.cv2.conv,55,9.377864837646484,64,32,would prune protected output root model.23.cv3.0.0.0.conv
119,4,DG016,model.19.cv2.conv,110,9.431092262268066,128,64,would prune protected output root model.23.cv3.1.0.0.conv
120,1,DG010,model.16.cv2.conv,61,8.357481002807617,64,32,would prune protected output root model.23.cv3.0.0.0.conv
120,2,DG010,model.16.cv2.conv,24,9.22789192199707,64,32,would prune protected output root model.23.cv3.0.0.0.conv
120,3,DG010,model.16.cv2.conv,55,9.377864837646484,64,32,would prune protected output root model.23.cv3.0.0.0.conv
120,4,DG016,model.19.cv2.conv,110,9.431092262268066,128,64,would prune protected output root model.23.cv3.1.0.0.conv
121,1,DG010,model.16.cv2.conv,61,8.357481002807617,64,32,would prune protected output root model.23.cv3.0.0.0.conv
121,2,DG010,model.16.cv2.conv,24,9.22789192199707,64,32,would prune protected output root model.23.cv3.0.0.0.conv
121,3,DG010,model.16.cv2.conv,55,9.377864837646484,64,32,would prune protected output root model.23.cv3.0.0.0.conv
121,4,DG016,model.19.cv2.conv,110,9.431092262268066,128,64,would prune protected output root model.23.cv3.1.0.0.conv
122,1,DG010,model.16.cv2.conv,61,8.357481002807617,64,32,would prune protected output root model.23.cv3.0.0.0.conv
122,2,DG010,model.16.cv2.conv,24,9.22789192199707,64,32,would prune protected output root model.23.cv3.0.0.0.conv
122,3,DG010,model.16.cv2.conv,55,9.377864837646484,64,32,would prune protected output root model.23.cv3.0.0.0.conv
122,4,DG016,model.19.cv2.conv,110,9.431092262268066,128,64,would prune protected output root model.23.cv3.1.0.0.conv
123,1,DG010,model.16.cv2.conv,61,8.357481002807617,64,32,would prune protected output root model.23.cv3.0.0.0.conv
123,2,DG010,model.16.cv2.conv,24,9.22789192199707,64,32,would prune protected output root model.23.cv3.0.0.0.conv
123,3,DG010,model.16.cv2.conv,55,9.377864837646484,64,32,would prune protected output root model.23.cv3.0.0.0.conv
123,4,DG016,model.19.cv2.conv,110,9.431092262268066,128,64,would prune protected output root model.23.cv3.1.0.0.conv
124,1,DG010,model.16.cv2.conv,61,8.357481002807617,64,32,would prune protected output root model.23.cv3.0.0.0.conv
124,2,DG010,model.16.cv2.conv,24,9.22789192199707,64,32,would prune protected output root model.23.cv3.0.0.0.conv
124,3,DG010,model.16.cv2.conv,55,9.377864837646484,64,32,would prune protected output root model.23.cv3.0.0.0.conv
124,4,DG016,model.19.cv2.conv,110,9.431092262268066,128,64,would prune protected output root model.23.cv3.1.0.0.conv
125,1,DG010,model.16.cv2.conv,61,8.357481002807617,64,32,would prune protected output root model.23.cv3.0.0.0.conv
125,2,DG010,model.16.cv2.conv,24,9.22789192199707,64,32,would prune protected output root model.23.cv3.0.0.0.conv
125,3,DG010,model.16.cv2.conv,55,9.377864837646484,64,32,would prune protected output root model.23.cv3.0.0.0.conv
125,4,DG016,model.19.cv2.conv,110,9.431092262268066,128,64,would prune protected output root model.23.cv3.1.0.0.conv
126,1,DG010,model.16.cv2.conv,61,8.357481002807617,64,32,would prune protected output root model.23.cv3.0.0.0.conv
126,2,DG010,model.16.cv2.conv,24,9.22789192199707,64,32,would prune protected output root model.23.cv3.0.0.0.conv
126,3,DG010,model.16.cv2.conv,55,9.377864837646484,64,32,would prune protected output root model.23.cv3.0.0.0.conv
