method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
FP32 baseline,/home/afm176/yolo_project/runs/baseline/baseline_yolo26n_mio_11000_e100_img640_b16_s42_20260701_001856/weights/best.pt,val,5.137639,2376981,3,0.000126,0.506632,0.690055,0.000000,0.000000,0.390591,1.047286,0.043972,1.481850,674.832305,,,original trained model
L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_22_10_8_amt_0p10/yolo26n_l1_combo_20_7_22_10_8_amt_0p10.pt,val,4.729196,2376981,149323,6.282044,0.506173,0.687875,0.000459,0.002180,0.414484,1.018665,0.042691,1.475840,677.580158,"20,7,22,10,8",0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
