layer_id,layer_type,conv_name,total_weights,pruned_weights,amount,new_zero_weights
22,C3k2,cv1.conv,98304,49152,0.5,49151
22,C3k2,cv2.conv,98304,49152,0.5,49151
22,C3k2,m.0.0.cv1.conv,73728,36864,0.5,36863
22,C3k2,m.0.0.cv2.conv,73728,36864,0.5,36864
22,C3k2,m.0.1.attn.qkv.conv,32768,16384,0.5,16384
22,C3k2,m.0.1.attn.proj.conv,16384,8192,0.5,8192
22,C3k2,m.0.1.attn.pe.conv,1152,576,0.5,576
22,C3k2,m.0.1.ffn.0.conv,32768,16384,0.5,16384
22,C3k2,m.0.1.ffn.1.conv,32768,16384,0.5,16384
