dataset,split,mode,map50_95,map50,latency_ms,fps
GEN,val,bypass,0.5066323602902936,0.6900551495872946,1.2914080929123994,774.3485622308497
SNOW,val,bypass,0.020819103649177228,0.0382767714180516,1.4911412727087736,670.6272693957579
