method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
FP32 baseline,/home/afm176/yolo_project/runs/baseline/baseline_yolo26n_mio_11000_e100_img640_b16_s42_20260701_001856/weights/best.pt,val,5.137639,2376981,3,0.000126,0.506632,0.690055,0.000000,0.000000,0.262916,1.024980,0.113567,1.401464,713.539690,,,original trained model
L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_6_13_16_amt_0p20/yolo26n_l1_combo_20_6_13_16_amt_0p20.pt,val,4.728055,2376981,77212,3.248322,0.502603,0.685064,0.004029,0.004991,0.263432,0.994743,0.082360,1.340535,745.970710,"20,6,13,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
