method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
FP32 baseline,/home/afm176/yolo_project/runs/baseline/baseline_yolo26n_mio_11000_e100_img640_b16_s42_20260701_001856/weights/best.pt,val,5.137639,2376981,3,0.000126,0.506632,0.690055,0.000000,0.000000,0.241233,1.014364,0.064979,1.320576,757.245446,,,original trained model
L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_13_16_amt_0p20/yolo26n_l1_combo_13_16_amt_0p20.pt,val,4.726974,2376981,30518,1.283898,0.503653,0.686884,0.002979,0.003171,0.251348,0.985179,0.071999,1.308526,764.218420,"13,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
