method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
FP32 baseline,/home/afm176/yolo_project/runs/baseline/baseline_yolo26n_mio_11000_e100_img640_b16_s42_20260701_001856/weights/best.pt,val,5.137639,2376981,3,0.000126,0.506632,0.690055,0.000000,0.000000,0.266613,1.006716,0.063025,1.336354,748.304636,,,original trained model
L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_22_10_8_17_amt_0p10/yolo26n_l1_combo_20_22_10_8_17_amt_0p10.pt,val,4.729522,2376981,123518,5.196424,0.505901,0.687554,0.000731,0.002501,0.279798,0.986742,0.073198,1.339738,746.414779,"20,22,10,8,17",0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
