method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
FP32 baseline,/home/afm176/yolo_project/runs/baseline/baseline_yolo26n_mio_11000_e100_img640_b16_s42_20260701_001856/weights/best.pt,val,5.137639,2376981,3,0.000126,0.506632,0.690055,0.000000,0.000000,0.253299,1.012371,0.042658,1.308328,764.334295,,,original trained model
L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_10_8_17_amt_0p20/yolo26n_l1_combo_20_7_22_10_8_17_amt_0p20.pt,val,4.730052,2376981,306025,12.874524,0.505457,0.686602,0.001175,0.003453,0.266069,0.971187,0.042674,1.279930,781.292788,"20,7,22,10,8,17",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
