domain,method,status,parameters,parameter_reduction_percent,baseline_gflops,pruned_gflops,gflops_reduction_percent,map50,map75,map50_95,retention_vs_baseline_percent,precision,recall,seed,recovery_schedule,total_recovery_epochs
GEN,Unpruned baseline,COMPLETE,2508090,0.0,5.7932800,5.7932800,0.0,,,0.6471450411564877,100.0,,,42,none,0
GEN,XD-Prune T7,COMPLETE,1083192,56.81207612167027,5.7932800,3.0340096,47.62881131241715,0.7970162035343659,0.6867318128561808,0.6123146169793877,94.61783341260626,0.7709101684555638,0.7509964771798294,42,6-6-8-10-40,70
SNOW,Unpruned baseline,COMPLETE,2506920,0.0,5.7868288,5.7868288,0.0,0.3262559884297529,0.18561033723849427,0.19198061496745905,100.0,,,42,none,0
SNOW,XD-Prune T7,COMPLETE,1082022,56.83859078071897,5.7868288,3.0275584,47.6819082672707,0.2954208526327921,0.13965521127948105,0.1474253729144936,76.7918015782387,0.39945562851426675,0.2725004786625296,42,6-6-8-10-40,70
