method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
FP32 baseline,/home/afm176/yolo_project/runs/baseline/baseline_yolo26n_mio_11000_e100_img640_b16_s42_20260701_001856/weights/best.pt,val,5.137639,2376981,3,0.000126,0.506632,0.690055,0.000000,0.000000,0.235453,1.019441,0.079837,1.334730,749.215048,,,original trained model
L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p10/combo_20_10_6_13_22_16_amt_0p10/yolo26n_l2_combo_20_10_6_13_22_16_amt_0p10.pt,val,4.730317,2376981,109773,4.618169,0.054770,0.094175,0.451862,0.595880,0.249031,0.992452,0.054779,1.296262,771.448966,"20,10,6,13,22,16",0.1,mask-based structured pruning; architecture shape unchanged
