rank_by_prunability_descending,ratio_percent,group_id,group_kind,representative_root,parameters_removed,gflops_removed,baseline_parameters,baseline_gflops,RP_parameter_reduction_fraction,RF_gflop_reduction_fraction,B_geometric_resource_benefit,sensitivity_S_GEN_PROTECTED,P_updated_prunability
32,25.0,DG010,GENERIC,model.16.cv2.conv,17792,0.14049280000000053,2506140,5.782528,0.00709936396210906,0.02429608641756694,0.01313342150138958,0.3032141391928818,0.04151579823333029
33,25.0,DG030,GENERIC,model.5.conv,41024,0.13148159999999987,2506140,5.782528,0.016369396761553624,0.02273773685142551,0.0192925642665972,0.4552650223521155,0.04065378957285109
34,25.0,DG015,GENERIC,model.17.conv,11296,0.03624960000000055,2506140,5.782528,0.004507329997526076,0.0062688153001594716,0.005315601494784877,0.15646714841264278,0.032856417002594354
35,25.0,DG029,GENERIC,model.4.m.0.cv1.conv,2312,0.02969600000000039,2506140,5.782528,0.0009225342558675892,0.005135470161147579,0.002176613687277669,0.071178434766806,0.029672309311336794
36,25.0,DG017,GENERIC,model.19.m.0.cv1.conv,10288,0.03307519999999986,2506140,5.782528,0.004105117830608027,0.00571985124845048,0.004845685023651418,0.16401348625821827,0.02869660550188722
37,25.0,CDG003,CUSTOM,model.6,12384,0.03993599999999997,2506140,5.782528,0.0049414637649931765,0.006906321940853545,0.005841860972336225,0.20380534082926488,0.027865198877610825
38,25.0,DG014,GENERIC,model.16.m.0.m.1.cv1.conv,1160,0.01495040000000003,2506140,5.782528,0.00046286320796124717,0.0025854435983708214,0.001093940911541747,0.04099853949510281,0.025988986654468138
39,25.0,DG016,GENERIC,model.19.cv2.conv,57088,0.09482239999999997,2506140,5.782528,0.022779254151803173,0.016398087480077914,0.019327084682181025,0.7439629105410038,0.025320762492805654
40,25.0,DG006,GENERIC,model.13.m.0.cv1.conv,10288,0.03307519999999986,2506140,5.782528,0.004105117830608027,0.00571985124845048,0.004845685023651418,0.19689874642984903,0.02401892824867529
41,25.0,CDG008,CUSTOM,model.19,14432,0.04648960000000013,2506140,5.782528,0.005758656739048896,0.008039667079865438,0.006804240075803959,0.3190863173014328,0.020878911406836703
42,25.0,DG013,GENERIC,model.16.m.0.m.0.cv1.conv,1160,0.01495040000000003,2506140,5.782528,0.00046286320796124717,0.0025854435983708214,0.001093940911541747,0.05202063368339788,0.020595870716923148
43,25.0,DG032,GENERIC,model.6.m.0.cv1.conv,10288,0.03307519999999986,2506140,5.782528,0.004105117830608027,0.00571985124845048,0.004845685023651418,0.24057635921943982,0.019744294114231047
44,25.0,DG022,GENERIC,model.2.m.0.cv1.conv,580,0.02990080000000006,2506140,5.782528,0.00023143160398062359,0.005170887196741643,0.001093940911541747,0.07317698979279857,0.014729058881684624
45,25.0,DG002,GENERIC,model.1.conv,1424,0.07372800000000002,2506140,5.782528,0.0005682044897731172,0.01275013281388348,0.002691594826501965,0.24725386049367232,0.010768728813468902
46,25.0,DG027,GENERIC,model.3.conv,10272,0.13189120000000099,2506140,5.782528,0.004098733510498216,0.022808570922613947,0.009668828986340227,1.0,0.009576237978988888
47,25.0,CDG007,CUSTOM,model.16,6192,0.07987200000000083,2506140,5.782528,0.0024707318824965883,0.013812643881707245,0.0058418609723362575,0.6229565247347274,0.0092905152193851
48,25.0,DG012,GENERIC,model.16.m.0.cv2.conv,264,0.0034816000000006397,2506140,5.782528,0.00010534128181187004,0.0006020896051001638,0.0002518429883217992,0.03028174725614334,0.008248063405103534
49,25.0,CDG002,CUSTOM,model.4,6448,0.08314880000000002,2506140,5.782528,0.002572881004253553,0.014379316451213037,0.006082455930911184,0.9218000412802198,0.006555200630675522
50,25.0,DG011,GENERIC,model.16.m.0.cv1.conv,2584,0.03338239999999981,2506140,5.782528,0.0010310676977343643,0.005772976801841653,0.002439739719754705,0.4546920611930079,0.0053370597164389705
51,25.0,CDG001,CUSTOM,model.2,1624,0.08437759999999983,2506140,5.782528,0.0006480084911457461,0.014591818664777729,0.00307499957659102,0.579043526045433,0.005282428648538924
