layer_id,layer_type,conv_name,total_weights,pruned_weights,amount,new_zero_weights
20,Conv,conv,147456,29491,0.2,29491
8,C3k2,cv1.conv,65536,13107,0.2,13107
8,C3k2,cv2.conv,98304,19661,0.2,19661
8,C3k2,m.0.cv1.conv,8192,1638,0.2,1638
8,C3k2,m.0.cv2.conv,8192,1638,0.2,1638
8,C3k2,m.0.cv3.conv,16384,3277,0.2,3277
8,C3k2,m.0.m.0.cv1.conv,36864,7373,0.2,7373
8,C3k2,m.0.m.0.cv2.conv,36864,7373,0.2,7373
8,C3k2,m.0.m.1.cv1.conv,36864,7373,0.2,7373
8,C3k2,m.0.m.1.cv2.conv,36864,7373,0.2,7373
17,Conv,conv,36864,7373,0.2,7373
