group_id,root,current_channel_index,raw_l1_sum,rejected_lower_scoring_candidates,parameters_before,parameters_removed,parameters_after,dependency_operation_count,step,reduction_percent
DG012,model.16.m.0.cv2.conv,1,5.690126419067383,0,2499281,66,2499215,5,27,0.35385492546120556
DG013,model.16.m.0.m.0.cv1.conv,15,5.6913933753967285,0,2499215,128,2499087,4,28,0.3589584105833543
DG012,model.16.m.0.cv2.conv,0,5.694267272949219,0,2499087,66,2499021,5,29,0.3615898950994567
DG014,model.16.m.0.m.1.cv1.conv,3,5.794814586639404,0,2499021,128,2498893,4,30,0.36669338022160547
DG011,model.16.m.0.cv1.conv,6,5.8040924072265625,0,2498893,610,2498283,15,31,0.391014676506829
DG014,model.16.m.0.m.1.cv1.conv,0,4.8452911376953125,0,2498283,110,2498173,4,32,0.39540048403367
DG014,model.16.m.0.m.1.cv1.conv,5,5.285245895385742,0,2498173,110,2498063,4,33,0.39978629156051104
DG013,model.16.m.0.m.0.cv1.conv,14,5.808000564575195,0,2498063,110,2497953,4,34,0.4041720990873521
DG001,model.0.conv,12,5.8217926025390625,0,2497953,317,2497636,4,35,0.4168111989601653
DG011,model.16.m.0.cv1.conv,3,5.835506916046143,0,2497636,556,2497080,15,36,0.4389794624594767
DG013,model.16.m.0.m.0.cv1.conv,7,4.860128402709961,0,2497080,92,2496988,4,37,0.44264759239102114
DG013,model.16.m.0.m.0.cv1.conv,12,5.1507110595703125,0,2496988,92,2496896,4,38,0.44631572232256556
DG013,model.16.m.0.m.0.cv1.conv,3,5.332241058349609,0,2496896,92,2496804,4,39,0.44998385225411
DG013,model.16.m.0.m.0.cv1.conv,2,5.50743293762207,0,2496804,92,2496712,4,40,0.4536519821856433
DG014,model.16.m.0.m.1.cv1.conv,3,5.523340225219727,0,2496712,92,2496620,4,41,0.4573201121171877
DG014,model.16.m.0.m.1.cv1.conv,2,5.547489166259766,0,2496620,92,2496528,4,42,0.4609882420487321
DG014,model.16.m.0.m.1.cv1.conv,7,5.693273544311523,0,2496528,92,2496436,4,43,0.46465637198027654
DG011,model.16.m.0.cv1.conv,4,5.868675231933594,0,2496436,430,2496006,15,44,0.48180089231247836
DG014,model.16.m.0.m.1.cv1.conv,7,4.281375885009766,0,2496006,74,2495932,4,45,0.48475134464871505
DG014,model.16.m.0.m.1.cv1.conv,0,4.8135986328125,0,2495932,74,2495858,4,46,0.48770179698495175
DG013,model.16.m.0.m.0.cv1.conv,6,4.9233245849609375,0,2495858,74,2495784,4,47,0.49065224932119955
DG013,model.16.m.0.m.0.cv1.conv,3,4.9460296630859375,0,2495784,74,2495710,4,48,0.49360270165743625
DG013,model.16.m.0.m.0.cv1.conv,4,5.090015411376953,0,2495710,74,2495636,4,49,0.49655315399367295
DG013,model.16.m.0.m.0.cv1.conv,2,5.145759582519531,0,2495636,74,2495562,4,50,0.49950360632992075
DG014,model.16.m.0.m.1.cv1.conv,0,5.196197509765625,0,2495562,74,2495488,4,51,0.5024540586661574
DG013,model.16.m.0.m.0.cv1.conv,2,5.423980712890625,0,2495488,74,2495414,4,52,0.5054045110023941
DG013,model.16.m.0.m.0.cv1.conv,1,5.4394989013671875,0,2495414,74,2495340,4,53,0.5083549633386308
DG013,model.16.m.0.m.0.cv1.conv,3,5.440277099609375,0,2495340,74,2495266,4,54,0.5113054156748786
