rank_by_prunability_descending,ratio_percent,group_id,group_kind,representative_root,parameters_removed,gflops_removed,baseline_parameters,baseline_gflops,RP_parameter_reduction_fraction,RF_gflop_reduction_fraction,B_geometric_resource_benefit,sensitivity_S_GEN_PROTECTED,P_updated_prunability
32,12.5,DG016,GENERIC,model.19.cv2.conv,28544,0.04741119999999999,2506140,5.782528,0.011389627075901586,0.008199043740038957,0.009663542341090512,0.20997363656338228,0.04399775297284025
33,12.5,DG001,GENERIC,model.0.conv,634,0.0421888000000008,2506140,5.782528,0.00025297868435123335,0.007295909332389018,0.0013585689323893945,0.03142768851594081,0.04143714586913262
34,12.5,DG020,GENERIC,model.19.m.0.m.1.cv1.conv,2312,0.007424000000000319,2506140,5.782528,0.0009225342558675892,0.0012838675402869332,0.0010883068436388507,0.028990613504705727,0.03618171234323398
35,12.5,CDG008,CUSTOM,model.19,7216,0.02324480000000051,2506140,5.782528,0.002879328369524448,0.004019833539932796,0.003402120037902012,0.09374812431121655,0.0350191608955318
36,12.5,DG029,GENERIC,model.4.m.0.cv1.conv,1156,0.014848000000000638,2506140,5.782528,0.0004612671279337946,0.0025677350805738664,0.0010883068436388507,0.03249363896521781,0.032407498059621925
37,12.5,DG015,GENERIC,model.17.conv,5648,0.01812479999999983,2506140,5.782528,0.002253664998763038,0.003134407650079659,0.002657800747392406,0.08004132997664548,0.0321381944903548
38,12.5,DG017,GENERIC,model.19.m.0.cv1.conv,5144,0.016537600000000374,2506140,5.782528,0.0020525589153040135,0.002859925624225317,0.0024228425118257416,0.07673679001426958,0.03060704597165785
39,12.5,CDG003,CUSTOM,model.6,6192,0.01996800000000043,2506140,5.782528,0.0024707318824965883,0.0034531609704268494,0.0029209304861681448,0.09627049103313917,0.029447410284362083
40,12.5,DG013,GENERIC,model.16.m.0.m.0.cv1.conv,580,0.007475200000000015,2506140,5.782528,0.00023143160398062359,0.0012927217991854107,0.0005469704557708735,0.0190560361540717,0.027902375725172807
41,12.5,DG014,GENERIC,model.16.m.0.m.1.cv1.conv,580,0.007475200000000015,2506140,5.782528,0.00023143160398062359,0.0012927217991854107,0.0005469704557708735,0.01951460300510809,0.027264584048578858
42,12.5,DG006,GENERIC,model.13.m.0.cv1.conv,5144,0.016537600000000374,2506140,5.782528,0.0020525589153040135,0.002859925624225317,0.0024228425118257416,0.09018166647729418,0.026163331983223414
43,12.5,DG022,GENERIC,model.2.m.0.cv1.conv,290,0.01495040000000003,2506140,5.782528,0.00011571580199031179,0.0025854435983708214,0.0005469704557708735,0.021066603607037,0.025306802761144782
44,12.5,DG032,GENERIC,model.6.m.0.cv1.conv,5144,0.016537600000000374,2506140,5.782528,0.0020525589153040135,0.002859925624225317,0.0024228425118257416,0.13788001067897268,0.01726866173228073
45,12.5,DG012,GENERIC,model.16.m.0.cv2.conv,132,0.0017407999999994317,2506140,5.782528,5.267064090593502e-05,0.0003010448025499283,0.0001259214941608675,0.009924921028313653,0.012528451607842482
46,12.5,DG002,GENERIC,model.1.conv,712,0.036863999999999564,2506140,5.782528,0.0002841022448865586,0.006375066406941663,0.0013457974132509744,0.11705111960886691,0.011366828183537618
47,12.5,CDG007,CUSTOM,model.16,3096,0.03993599999999997,2506140,5.782528,0.0012353659412482941,0.006906321940853545,0.0029209304861681127,0.2955538362727073,0.00978618902323426
48,12.5,DG011,GENERIC,model.16.m.0.cv1.conv,1292,0.016691199999999462,2506140,5.782528,0.0005155338488671822,0.0028864884009207497,0.0012198698598773362,0.15222870556447185,0.007949698174153055
49,12.5,CDG002,CUSTOM,model.4,3224,0.0415744000000009,2506140,5.782528,0.0012864405021267766,0.007189658225606672,0.0030412279654556244,0.3915902244212669,0.007706501717139734
50,12.5,DG027,GENERIC,model.3.conv,5136,0.06594560000000005,2506140,5.782528,0.002049366755249108,0.011404285461306897,0.004834414493170098,0.633372973516496,0.007574989860657766
51,12.5,CDG001,CUSTOM,model.2,812,0.0421888000000008,2506140,5.782528,0.00032400424557287304,0.007295909332389018,0.0015374997882955262,0.2598398653590945,0.005882298903076531
