layer_id,type,noise_std_ratio,map50_95,map50,drop_map50_95,drop_map50
baseline,none,1.4,0.506632,0.690055,0.000000,0.000000
0,Conv,1.4,0.026591,0.040245,0.480042,0.649810
1,Conv,1.4,0.129561,0.186459,0.377071,0.503596
2,C3k2,1.4,0.410067,0.579536,0.096565,0.110519
3,Conv,1.4,0.168258,0.244309,0.338374,0.445746
4,C3k2,1.4,0.457832,0.641807,0.048801,0.048249
5,Conv,1.4,0.362145,0.507168,0.144487,0.182887
6,C3k2,1.4,0.465963,0.632219,0.040670,0.057836
7,Conv,1.4,0.466759,0.636701,0.039874,0.053354
8,C3k2,1.4,0.404464,0.567050,0.102169,0.123005
9,SPPF,1.4,0.414280,0.572223,0.092352,0.117832
10,C2PSA,1.4,0.458748,0.636676,0.047884,0.053379
11,Upsample,1.4,0.483261,0.666474,0.023371,0.023581
12,Concat,1.4,0.455658,0.631157,0.050975,0.058898
13,C3k2,1.4,0.447157,0.631077,0.059476,0.058978
14,Upsample,1.4,0.483347,0.671096,0.023285,0.018959
15,Concat,1.4,0.454519,0.646408,0.052114,0.043647
16,C3k2,1.4,0.411638,0.551168,0.094994,0.138887
17,Conv,1.4,0.488643,0.678382,0.017990,0.011673
18,Concat,1.4,0.480457,0.670643,0.026176,0.019412
19,C3k2,1.4,0.373469,0.537163,0.133164,0.152892
20,Conv,1.4,0.503771,0.687909,0.002861,0.002146
21,Concat,1.4,0.501616,0.688295,0.005016,0.001760
22,C3k2,1.4,0.396208,0.575862,0.110425,0.114193
