layer_id,type,noise_std_ratio,map50_95,map50,drop_map50_95,drop_map50
baseline,none,0.3,0.506632,0.690055,0.000000,0.000000
0,Conv,0.3,0.478764,0.660545,0.027869,0.029510
1,Conv,0.3,0.502412,0.688679,0.004220,0.001376
2,C3k2,0.3,0.505924,0.690607,0.000708,-0.000552
3,Conv,0.3,0.496815,0.680726,0.009817,0.009329
4,C3k2,0.3,0.507211,0.692686,-0.000579,-0.002631
5,Conv,0.3,0.507565,0.688757,-0.000932,0.001298
6,C3k2,0.3,0.505769,0.688034,0.000863,0.002021
7,Conv,0.3,0.508510,0.691910,-0.001878,-0.001854
8,C3k2,0.3,0.505640,0.685369,0.000993,0.004686
9,SPPF,0.3,0.505296,0.687040,0.001336,0.003016
10,C2PSA,0.3,0.504133,0.686201,0.002499,0.003854
11,Upsample,0.3,0.505740,0.688129,0.000892,0.001927
12,Concat,0.3,0.502942,0.687235,0.003691,0.002820
13,C3k2,0.3,0.503957,0.686650,0.002675,0.003405
14,Upsample,0.3,0.505055,0.688430,0.001578,0.001625
15,Concat,0.3,0.506385,0.690699,0.000248,-0.000644
16,C3k2,0.3,0.501997,0.683700,0.004635,0.006355
17,Conv,0.3,0.505984,0.689156,0.000648,0.000899
18,Concat,0.3,0.504853,0.687933,0.001779,0.002122
19,C3k2,0.3,0.504214,0.688672,0.002418,0.001383
20,Conv,0.3,0.506307,0.690097,0.000326,-0.000042
21,Concat,0.3,0.506892,0.689722,-0.000259,0.000333
22,C3k2,0.3,0.503004,0.688052,0.003628,0.002003
