layer_id,type,noise_std_ratio,map50_95,map50,drop_map50_95,drop_map50
baseline,none,0.6,0.506632,0.690055,0.000000,0.000000
0,Conv,0.6,0.339255,0.479357,0.167377,0.210698
1,Conv,0.6,0.454596,0.635268,0.052036,0.054787
2,C3k2,0.6,0.501316,0.684444,0.005316,0.005611
3,Conv,0.6,0.463119,0.643718,0.043513,0.046337
4,C3k2,0.6,0.502175,0.689486,0.004458,0.000569
5,Conv,0.6,0.500861,0.679225,0.005771,0.010830
6,C3k2,0.6,0.500949,0.680662,0.005683,0.009393
7,Conv,0.6,0.509760,0.692970,-0.003128,-0.002914
8,C3k2,0.6,0.494695,0.672805,0.011937,0.017250
9,SPPF,0.6,0.502664,0.682510,0.003969,0.007545
10,C2PSA,0.6,0.496666,0.675725,0.009966,0.014330
11,Upsample,0.6,0.502944,0.682928,0.003688,0.007127
12,Concat,0.6,0.494552,0.673887,0.012080,0.016168
13,C3k2,0.6,0.493039,0.677326,0.013593,0.012729
14,Upsample,0.6,0.501536,0.684817,0.005097,0.005238
15,Concat,0.6,0.500552,0.686098,0.006081,0.003957
16,C3k2,0.6,0.486192,0.661226,0.020441,0.028829
17,Conv,0.6,0.503454,0.686683,0.003178,0.003372
18,Concat,0.6,0.502778,0.685702,0.003855,0.004354
19,C3k2,0.6,0.485707,0.665114,0.020926,0.024941
20,Conv,0.6,0.506351,0.690692,0.000282,-0.000637
21,Concat,0.6,0.507869,0.690138,-0.001236,-0.000083
22,C3k2,0.6,0.490302,0.679393,0.016330,0.010662
