method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
FP32 baseline,/home/afm176/yolo_project/runs/baseline/baseline_yolo26n_mio_11000_e100_img640_b16_s42_20260701_001856/weights/best.pt,val,5.137639,2376981,3,0.000126,0.506632,0.690055,0.000000,0.000000,0.289912,1.005189,0.043528,1.338630,747.032535,,,original trained model
L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_7_22_17_amt_0p10/yolo26n_l2_combo_7_22_17_amt_0p10.pt,val,4.727382,2376981,79544,3.346430,0.330787,0.514580,0.175845,0.175476,0.255022,0.986611,0.069611,1.311243,762.634978,"7,22,17",0.1,mask-based structured pruning; architecture shape unchanged
