domain,group_id,group_kind,eligible_for_cumulative_raw,selection_unit,score_basis,root_channels_before,selectable_units_before,selected_unit_count,prune_first_mean_score,prune_first_max_score,all_unit_score_mean,all_unit_score_std,domain_rank_prune_first_ascending
GEN2,DG012,GENERIC,True,output_channel,canonical_root_filters,16,16,6,0.7465083599090576,0.7836925983428955,0.806536078453064,0.0635887011885643,1
GEN2,DG011,GENERIC,True,output_channel,canonical_root_filters,16,16,6,0.8519583344459534,0.8949260711669922,0.9183667898178101,0.06812630593776703,2
GEN2,DG018,GENERIC,True,output_channel,canonical_root_filters,32,32,12,0.9479774832725525,0.990525484085083,1.0387669801712036,0.09068161994218826,3
GEN2,DG001,GENERIC,False,output_channel,canonical_root_filters,16,16,6,1.0387228727340698,1.170817494392395,1.5262550115585327,0.47956666350364685,4
GEN2,DG017,GENERIC,True,output_channel,canonical_root_filters,32,32,12,1.053633451461792,1.1028159856796265,1.1184580326080322,0.06660077720880508,5
GEN2,DG007,GENERIC,True,output_channel,canonical_root_filters,32,32,12,1.0808526277542114,1.1168665885925293,1.1410808563232422,0.06167507544159889,6
GEN2,DG033,GENERIC,True,output_channel,canonical_root_filters,32,32,12,1.1120582818984985,1.147706151008606,1.1618410348892212,0.050186093896627426,7
GEN2,DG006,GENERIC,True,output_channel,canonical_root_filters,32,32,12,1.1187134981155396,1.163359522819519,1.1847875118255615,0.06383644789457321,8
GEN2,DG032,GENERIC,True,output_channel,canonical_root_filters,32,32,12,1.1422477960586548,1.1703864336013794,1.193210244178772,0.04852110147476196,9
GEN2,DG021,GENERIC,True,output_channel,canonical_root_filters,64,64,24,1.1698284149169922,1.2306325435638428,1.2686288356781006,0.09749921411275864,10
GEN2,DG026,GENERIC,True,output_channel,canonical_root_filters,256,256,96,1.1797078847885132,1.2437082529067993,1.2808220386505127,0.10433672368526459,11
GEN2,DG010,GENERIC,True,output_channel,canonical_root_filters,64,64,24,1.205054521560669,1.2957823276519775,1.3575807809829712,0.14853768050670624,12
GEN2,DG004,GENERIC,True,output_channel,canonical_root_filters,256,256,96,1.397815227508545,1.4570658206939697,1.4642691612243652,0.071868896484375,13
GEN2,DG028,GENERIC,True,output_channel,canonical_root_filters,128,128,48,1.4076075553894043,1.4440279006958008,1.4783626794815063,0.07973967492580414,14
GEN2,DG039,GENERIC,True,output_channel,canonical_root_filters,64,64,24,1.4235197305679321,1.4658079147338867,1.4825124740600586,0.05816732347011566,15
GEN2,DG038,GENERIC,True,output_channel,canonical_root_filters,64,64,24,1.4536495208740234,1.496422529220581,1.5192985534667969,0.06862334161996841,16
GEN2,DG016,GENERIC,True,output_channel,canonical_root_filters,128,128,48,1.4728904962539673,1.6966757774353027,1.770158290863037,0.2791830897331238,17
GEN2,DG013,GENERIC,True,output_channel,canonical_root_filters,16,16,6,1.483715534210205,1.5115857124328613,1.5398004055023193,0.05846836790442467,18
GEN2,DG022,GENERIC,True,output_channel,canonical_root_filters,8,8,3,1.5176626443862915,1.569895625114441,1.6254496574401855,0.1306627243757248,19
GEN2,DG014,GENERIC,True,output_channel,canonical_root_filters,16,16,6,1.5193430185317993,1.5444344282150269,1.560556173324585,0.045434195548295975,20
GEN2,CDG001,CUSTOM,True,hidden_channel,paired_cv1_split_filters,16,16,6,1.5222983360290527,1.6031122207641602,1.6431447267532349,0.12354806065559387,21
GEN2,CDG002,CUSTOM,True,hidden_channel,paired_cv1_split_filters,32,32,12,1.7295233011245728,1.7829153537750244,1.7901573181152344,0.05516185611486435,22
GEN2,DG005,GENERIC,True,output_channel,canonical_root_filters,128,128,48,1.757662296295166,1.823474407196045,1.8399481773376465,0.08204623311758041,23
GEN2,DG031,GENERIC,True,output_channel,canonical_root_filters,128,128,48,1.8410853147506714,1.875999093055725,1.8925129175186157,0.05346203222870827,24
GEN2,DG020,GENERIC,False,output_channel,canonical_root_filters,32,32,12,1.8878960609436035,1.979768991470337,1.9905421733856201,0.1032072976231575,25
GEN2,DG002,GENERIC,True,output_channel,canonical_root_filters,32,32,12,1.9013718366622925,1.9528206586837769,2.0037989616394043,0.10051167756319046,26
GEN2,DG019,GENERIC,True,output_channel,canonical_root_filters,32,32,12,1.9252833127975464,1.9926046133041382,2.0427472591400146,0.11922343820333481,27
GEN2,DG003,GENERIC,True,output_channel,canonical_root_filters,256,256,96,1.9762763977050781,2.0363810062408447,2.05861234664917,0.08526689559221268,28
GEN2,DG042,GENERIC,True,output_channel,canonical_root_filters,128,128,48,2.0131473541259766,2.058130979537964,2.0804924964904785,0.07378149777650833,29
GEN2,DG009,GENERIC,True,output_channel,canonical_root_filters,32,32,12,2.054785966873169,2.121540069580078,2.139336585998535,0.08494643121957779,30
GEN2,DG008,GENERIC,True,output_channel,canonical_root_filters,32,32,12,2.064690589904785,2.121744394302368,2.140244245529175,0.07352357357740402,31
GEN2,DG024,GENERIC,True,output_channel,canonical_root_filters,256,256,96,2.113811492919922,2.329434633255005,2.4413461685180664,0.3144485056400299,32
GEN2,DG034,GENERIC,True,output_channel,canonical_root_filters,32,32,12,2.1190497875213623,2.1423027515411377,2.177314519882202,0.05850685015320778,33
GEN2,DG035,GENERIC,True,output_channel,canonical_root_filters,32,32,12,2.137216091156006,2.181699514389038,2.20521879196167,0.06716800481081009,34
GEN2,CDG003,CUSTOM,True,hidden_channel,paired_cv1_split_filters,64,64,24,2.1662800312042236,2.210073947906494,2.2330052852630615,0.06823735684156418,35
GEN2,DG029,GENERIC,True,output_channel,canonical_root_filters,16,16,6,2.1859514713287354,2.2074270248413086,2.264983654022217,0.08131282031536102,36
GEN2,CDG008,CUSTOM,True,hidden_channel,paired_cv1_split_filters,64,64,24,2.3774445056915283,2.4834749698638916,2.5276262760162354,0.1461167335510254,37
GEN2,DG037,GENERIC,True,output_channel,canonical_root_filters,256,256,96,2.438725709915161,2.518794536590576,2.5284619331359863,0.09946145862340927,38
GEN2,DG015,GENERIC,True,output_channel,canonical_root_filters,64,64,24,2.738576889038086,2.8537395000457764,2.916344404220581,0.18206055462360382,39
GEN2,CDG007,CUSTOM,True,hidden_channel,paired_cv1_split_filters,32,32,12,2.768554449081421,2.820420980453491,2.853208541870117,0.08672262728214264,40
GEN2,DG041,GENERIC,True,output_channel,canonical_root_filters,64,64,24,2.826819658279419,2.890050172805786,2.92010235786438,0.09473633021116257,41
GEN2,DG040,GENERIC,True,output_channel,canonical_root_filters,64,64,24,2.834151268005371,2.901616096496582,2.9202463626861572,0.08944420516490936,42
GEN2,CDG004,CUSTOM,True,hidden_channel,paired_cv1_split_filters,128,128,48,2.874302864074707,2.9230358600616455,2.9387307167053223,0.06529145687818527,43
GEN2,CDG005,CUSTOM,True,paired_attention_unit,paired_cv1_attention_embedding_filters,128,64,24,2.8839266300201416,2.914891481399536,2.942765951156616,0.05813649296760559,44
GEN2,DG027,GENERIC,True,output_channel,canonical_root_filters,64,64,24,3.0336313247680664,3.072330951690674,3.116335153579712,0.09709199517965317,45
GEN2,CDG009,CUSTOM,True,paired_attention_unit,paired_cv1_attention_embedding_filters,128,64,24,3.252532720565796,3.4307146072387695,3.4486379623413086,0.20204783976078033,46
GEN2,CDG006,CUSTOM,True,hidden_channel,paired_cv1_split_filters,64,64,24,3.529998779296875,3.592568874359131,3.6207163333892822,0.08918678015470505,47
GEN2,DG025,GENERIC,True,output_channel,canonical_root_filters,64,64,24,3.6042139530181885,3.7855477333068848,3.815279960632324,0.20975059270858765,48
GEN2,DG023,GENERIC,True,output_channel,canonical_root_filters,128,128,48,3.7883260250091553,4.0758562088012695,4.221378326416016,0.4268593192100525,49
GEN2,DG036,GENERIC,True,output_channel,canonical_root_filters,256,256,96,4.0118560791015625,4.066117286682129,4.097541332244873,0.0897524282336235,50
GEN2,DG030,GENERIC,True,output_channel,canonical_root_filters,128,128,48,4.1271586418151855,4.172127723693848,4.204656600952148,0.08937162905931473,51
