method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
FP32 baseline,/home/afm176/yolo_project/runs/baseline/baseline_yolo26n_mio_11000_e100_img640_b16_s42_20260701_001856/weights/best.pt,val,5.137639,2376981,3,0.000126,0.506632,0.690055,0.000000,0.000000,0.282099,1.007098,0.043900,1.333098,750.132568,,,original trained model
L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_7_22_8_17_amt_0p10/yolo26n_l1_combo_7_22_8_17_amt_0p10.pt,val,4.727851,2376981,113571,4.777952,0.506161,0.688612,0.000471,0.001443,0.284439,0.974317,0.045966,1.304722,766.446905,"7,22,8,17",0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
