method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
FP32 baseline,/home/afm176/yolo_project/runs/baseline/baseline_yolo26n_mio_11000_e100_img640_b16_s42_20260701_001856/weights/best.pt,val,5.137639,2376981,3,0.000126,0.506632,0.690055,0.000000,0.000000,0.328397,1.060002,0.046794,1.435193,696.770403,,,original trained model
L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_22_amt_0p40/yolo26n_l2_layer_22_amt_0p40.pt,val,4.726361,2376981,183821,7.733381,0.347604,0.515333,0.159028,0.174722,0.252187,0.997382,0.078126,1.327696,753.184719,22,0.4,mask-based structured pruning; architecture shape unchanged
