dataset,split,baseline_params,baseline_size_mb,map50_95,map50,latency_ms,fps
GEN,val,2508090,5.174115,0.49974051949535503,0.6806550365386775,1.7006691494448618,588.0038456194866
SNOW,val,2508090,5.174115,0.02333295724616334,0.042113622695176454,2.0609554275870323,485.2118520441757
