rank_by_sensitivity_ascending,ratio_percent,group_id,group_kind,representative_root,mAP_GEN2_baseline,mAP_GEN2_pruned,AD_GEN2,NAD_GEN2_signed,D_GEN2_nonnegative_harm,mAP_NGN2_baseline,mAP_NGN2_pruned,AD_NGN2,NAD_NGN2_signed,D_NGN2_nonnegative_harm,sensitivity_S_R4
1,12.5,DG004,GENERIC,model.10.m.0.ffn.0.conv,0.29238744923632365,0.29269998699050626,-0.0003125377541826069,-0.0010689164497276237,0.0,0.2556081270327769,0.25524456159287723,0.0003635654398996824,0.001422354774553244,0.001422354774553244,-0.00023849270830066766
2,12.5,DG026,GENERIC,model.22.m.0.1.ffn.0.conv,0.29238744923632365,0.2923309429834256,5.650625289804756e-05,0.00019325813418337288,0.00019325813418337288,0.2556081270327769,0.25551220444599376,9.592258678314813e-05,0.00037527205373578704,0.00037527205373578704,0.00025392944070084427
3,12.5,DG034,GENERIC,model.6.m.0.m.0.cv1.conv,0.29238744923632365,0.29148736836797123,0.0009000808683524153,0.003078384078055691,0.003078384078055691,0.2556081270327769,0.25641042764490524,-0.000802300612128326,-0.003138791483047979,0.0,0.0010059922243544671
4,12.5,DG039,GENERIC,model.8.m.0.cv2.conv,0.29238744923632365,0.29175583569671004,0.0006316135396136069,0.002160193747246319,0.002160193747246319,0.2556081270327769,0.2555251570212712,8.297001150570082e-05,0.0003245984878057554,0.0003245984878057554,0.0015483286607661311
5,12.5,DG033,GENERIC,model.6.m.0.cv2.conv,0.29238744923632365,0.2918429063130629,0.0005445429232607268,0.001862401839350489,0.001862401839350489,0.2556081270327769,0.2548945838928301,0.0007135431399468151,0.0027915510677613024,0.0027915510677613024,0.00217211824882076
6,12.5,DG018,GENERIC,model.19.m.0.cv2.conv,0.29238744923632365,0.2916770230943585,0.0007104261419651481,0.0024297422608962347,0.0024297422608962347,0.2556081270327769,0.25516712218340143,0.00044100484937548146,0.0017253162272063867,0.0017253162272063867,0.0021949335829996187
7,12.5,DG007,GENERIC,model.13.m.0.cv2.conv,0.29238744923632365,0.2918714026715959,0.0005160465647277568,0.001764940889479355,0.001764940889479355,0.2556081270327769,0.25354445481291765,0.0020636722198592583,0.00807357826926462,0.00807357826926462,0.003867820016074444
8,12.5,DG025,GENERIC,model.22.m.0.0.cv1.conv,0.29238744923632365,0.29117069661699113,0.0012167526193325173,0.004161439290607412,0.004161439290607412,0.2556081270327769,0.25417217975394757,0.0014359472788293415,0.005617768478250335,0.005617768478250335,0.004646882353155053
9,12.5,DG040,GENERIC,model.8.m.0.m.0.cv1.conv,0.29238744923632365,0.291175651971445,0.0012117972648786335,0.004144491386493105,0.004144491386493105,0.2556081270327769,0.25331032687245414,0.0022978001603227716,0.008989542652640783,0.008989542652640783,0.005759508475208998
10,12.5,DG038,GENERIC,model.8.m.0.cv1.conv,0.29238744923632365,0.28979937315528764,0.002588076081036006,0.008851529324516869,0.008851529324516869,0.2556081270327769,0.2546637226902484,0.0009444043425285154,0.003694735192857985,0.003694735192857985,0.007132597947297241
11,12.5,DG012,GENERIC,model.16.m.0.cv2.conv,0.29238744923632365,0.28948552689298307,0.0029019223433405794,0.009924921028313653,0.009924921028313653,0.2556081270327769,0.2547294001721001,0.0008787268606768039,0.0034377892083381364,0.0034377892083381364,0.007762543754988481
12,12.5,DG019,GENERIC,model.19.m.0.m.0.cv1.conv,0.29238744923632365,0.28888187379983693,0.0035055754364867187,0.01198948670896376,0.01198948670896376,0.2556081270327769,0.2557308102788775,-0.00012268324610059667,-0.00047996614006277216,0.0,0.007833002425954916
13,12.5,DG008,GENERIC,model.13.m.0.m.0.cv1.conv,0.29238744923632365,0.29015844027094106,0.002229008965382584,0.007623476900956087,0.007623476900956087,0.2556081270327769,0.2526213838643634,0.0029867431684135193,0.01168485213316604,0.01168485213316604,0.00897726864502607
