method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
FP32 baseline,/home/afm176/yolo_project/runs/baseline/baseline_yolo26n_mio_11000_e100_img640_b16_s42_20260701_001856/weights/best.pt,val,5.137639,2376981,3,0.000126,0.506632,0.690055,0.000000,0.000000,0.287922,1.016445,0.080040,1.384407,722.330855,,,original trained model
L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_22_17_amt_0p10/yolo26n_l1_combo_22_17_amt_0p10.pt,val,4.726974,2376981,49676,2.089878,0.506170,0.688687,0.000463,0.001368,0.261934,1.002665,0.076815,1.341413,745.482497,"22,17",0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
