ratio_percent,group_id,group_kind,representative_root,parameters_removed,gflops_removed,gen2_pruned_map50_95,gen2_AD_map50_95,gen2_NAD_map50_95,ngn2_pruned_map50_95,ngn2_AD_map50_95,ngn2_NAD_map50_95,directional_NAD_difference_GEN2_minus_NGN2
25.0,DG001,GENERIC,model.0.conv,1268,0.08437759999999983,0.27677924951399585,0.015608199722327798,0.0533819073393687,0.2427532959189379,0.012854831113839005,0.05029116743299252,0.0030907399063761776
25.0,DG002,GENERIC,model.1.conv,1424,0.07372800000000002,0.2271520541956396,0.06523539504068404,0.22311284294544803,0.1862373905701988,0.0693707364625781,0.2713948780418966,-0.04828203509644857
25.0,DG003,GENERIC,model.10.cv2.conv,41088,0.05283840000000062,0.2710825395605995,0.021304909675724126,0.07286533581167612,0.252144770289066,0.003463356743710899,0.013549478195060633,0.05931585761661549
25.0,DG004,GENERIC,model.10.m.0.ffn.0.conv,16512,0.01331199999999999,0.2898045352355357,0.0025829140007879725,0.008833874393494636,0.25421305862866617,0.0013950684041107442,0.005457840563621254,0.0033760338298733823
25.0,DG005,GENERIC,model.13.cv2.conv,12352,0.05980160000000012,0.26181781823039896,0.03056963100592469,0.10455178936636446,0.2284032887926455,0.027204838240131424,0.10643182028653932,-0.0018800309201748577
25.0,DG006,GENERIC,model.13.m.0.cv1.conv,10288,0.03307519999999986,0.2393108553082936,0.05307659392803005,0.1815282908574185,0.20135039388223205,0.05425773315054486,0.21226920200227956,-0.03074091114486105
25.0,DG007,GENERIC,model.13.m.0.cv2.conv,1040,0.0033792000000003597,0.29103527490926456,0.0013521743270590858,0.004624597706196972,0.2540572635534311,0.0015508634793457987,0.006067348082195093,-0.0014427503759981211
25.0,DG008,GENERIC,model.13.m.0.m.0.cv1.conv,4624,0.014848000000000638,0.2842468826223623,0.008140566613961342,0.027841710152824266,0.2473742054916472,0.008233921541129702,0.03221306629297376,-0.004371356140149496
25.0,DG009,GENERIC,model.13.m.0.m.1.cv1.conv,4624,0.014848000000000638,0.2850545862558336,0.007332862980490074,0.02507926725186911,0.24480875492434076,0.01079937210843615,0.04224972121896318,-0.017170453967094067
25.0,DG010,GENERIC,model.16.cv2.conv,17792,0.14049280000000053,0.20373144050532935,0.0886560087309943,0.3032141391928818,0.20640834815660566,0.049199778876171246,0.19248127767808534,0.11073286151479647
25.0,DG011,GENERIC,model.16.m.0.cv1.conv,2584,0.03338239999999981,0.15944119727609368,0.13294625196022997,0.4546920611930079,0.1823599610077171,0.07324816602505982,0.28656430793245913,0.1681277532605488
25.0,DG012,GENERIC,model.16.m.0.cv2.conv,264,0.0034816000000006397,0.28353344639768086,0.008854002838642794,0.03028174725614334,0.25102638464222604,0.004581742390550869,0.017924869775221768,0.012356877480921572
25.0,DG013,GENERIC,model.16.m.0.m.0.cv1.conv,1160,0.01495040000000003,0.27717726884597776,0.015210180390345884,0.05202063368339788,0.24238733031859686,0.013220796714180055,0.0517229122080486,0.0002977214753492746
25.0,DG014,GENERIC,model.16.m.0.m.1.cv1.conv,1160,0.01495040000000003,0.28039999085093587,0.011987458385387784,0.04099853949510281,0.24536506530917235,0.010243061723604563,0.04007330221660395,0.0009252372784988652
25.0,DG015,GENERIC,model.17.conv,11296,0.03624960000000055,0.24663841882266974,0.04574903041365391,0.15646714841264278,0.22016339476109242,0.03544473227168449,0.13866825238752822,0.017798896025114558
25.0,DG016,GENERIC,model.19.cv2.conv,57088,0.09482239999999997,0.07486203149680833,0.21752541773951534,0.7439629105410038,0.156520920003478,0.09908720702929891,0.38765280345171826,0.35631010708928557
25.0,DG017,GENERIC,model.19.m.0.cv1.conv,10288,0.03307519999999986,0.2444319643489264,0.04795548488739726,0.16401348625821827,0.2139651242239676,0.04164300280880931,0.16291736609559906,0.0010961201626192019
25.0,DG018,GENERIC,model.19.m.0.cv2.conv,1040,0.0033792000000003597,0.2906957386500841,0.0016917105862395698,0.005785852267797706,0.25439760091347585,0.0012105261193010586,0.0047358670999761735,0.0010499851678215325
25.0,DG019,GENERIC,model.19.m.0.m.0.cv1.conv,4624,0.014848000000000638,0.28455907545467996,0.007828373781643694,0.02677397337707328,0.25139470585772394,0.004213421175052967,0.01648390927144768,0.0102900641056256
25.0,DG020,GENERIC,model.19.m.0.m.1.cv1.conv,4624,0.014848000000000638,0.2799873129333857,0.012400136302937959,0.0424099472645814,0.24504139205964226,0.01056673497313465,0.04133958922119744,0.0010703580433839635
25.0,DG021,GENERIC,model.2.cv2.conv,10016,0.16056320000000035,0.25438140472842385,0.038006044507899794,0.1299852117700894,0.2338000434613636,0.02180808357141331,0.08531842795677946,0.044666783813309935
25.0,DG022,GENERIC,model.2.m.0.cv1.conv,580,0.02990080000000006,0.2709914158480148,0.021396033388308866,0.07317698979279857,0.23957537362680106,0.016032753405975847,0.06272395792767556,0.010453031865123016
