method,group_id,group_kind,GEN2_isomorphic_queue_index,NGN2_isomorphic_queue_index,mean_domain_isomorphic_queue_index,GEN2_scope,NGN2_scope,cumulative_queue_index
isomorphic_taylor,DG041,GENERIC,38,39,38.5,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,38
isomorphic_taylor,DG036,GENERIC,39,40,39.5,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,39
isomorphic_taylor,DG002,GENERIC,43,38,40.5,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,40
isomorphic_taylor,DG019,GENERIC,40,41,40.5,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,41
isomorphic_taylor,DG040,GENERIC,41,42,41.5,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,42
isomorphic_taylor,DG014,GENERIC,42,46,44.0,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,43
isomorphic_taylor,DG013,GENERIC,46,43,44.5,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,44
isomorphic_taylor,DG035,GENERIC,45,44,44.5,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,45
isomorphic_taylor,DG009,GENERIC,44,48,46.0,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,46
isomorphic_taylor,DG034,GENERIC,47,45,46.0,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,47
isomorphic_taylor,DG008,GENERIC,48,47,47.5,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,48
isomorphic_taylor,DG004,GENERIC,49,49,49.0,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,49
