candidate,domain,packaged_model,source_model,size_bytes,sha256
C007,GEN,YOLO26n_recovered_C007_GEN_best.pt,/home/afm176/yolo_project/5_reproduction/stage4_results/recovery_C007_L9_20260729_192450/training_runs/C007_GEN_recovery20e/weights/best.pt,4829967,ac0ed444a67a7899ed9f1accc7bf0c85f36039bd4bee45825e897f2ed6266b1f
C007,SNOW,YOLO26n_recovered_C007_SNOW_best.pt,/home/afm176/yolo_project/5_reproduction/stage4_results/recovery_C007_L9_20260729_192450/training_runs/C007_SNOW_recovery20e/weights/best.pt,4822287,f4da4755c5be0dd4cb0da4a31a20ec6dd5f98ebd549e363f8152a558cdca7bb6
L9,GEN,YOLO26n_recovered_L9_GEN_best.pt,/home/afm176/yolo_project/5_reproduction/stage4_results/recovery_C007_L9_20260729_192450/training_runs/L9_GEN_recovery20e/weights/best.pt,5042113,662fd06e77ee44cbe61e74e867266efd0c08ef4f07e92184b94d582a83e5e288
L9,SNOW,YOLO26n_recovered_L9_SNOW_best.pt,/home/afm176/yolo_project/5_reproduction/stage4_results/recovery_C007_L9_20260729_192450/training_runs/L9_SNOW_recovery20e/weights/best.pt,5034433,6278d728ba2c575a92713769c8a4ebd9018f8717706d7b0ef4530d96ae28732d
