ratio_percent,group_id,group_kind,representative_root,parameters_removed,gflops_removed,gen2_pruned_map50_95,gen2_AD_map50_95,gen2_NAD_map50_95,ngn2_pruned_map50_95,ngn2_AD_map50_95,ngn2_NAD_map50_95,directional_NAD_difference_GEN2_minus_NGN2
37.5,DG001,GENERIC,model.0.conv,1902,0.12656639999999975,0.2632488768662778,0.029138572370045857,0.09965739790183148,0.23316588394015267,0.022442243092624242,0.08779941136122972,0.011857986540601759
37.5,DG002,GENERIC,model.1.conv,2136,0.11059199999999958,0.19344099212757712,0.09894645710874653,0.33840870176603427,0.1375633309652623,0.11804479606751461,0.4618194164553211,-0.12341071468928683
37.5,DG003,GENERIC,model.10.cv2.conv,61632,0.07925760000000004,0.2523478548624929,0.040039594373830756,0.13694019520471465,0.23963380859837088,0.015974318434406026,0.062495346371978316,0.07444484883273633
37.5,DG004,GENERIC,model.10.m.0.ffn.0.conv,24768,0.01996800000000043,0.28654823540825275,0.005839213828070899,0.019970808744773874,0.2537695419371657,0.0018385850956111893,0.007192983716732237,0.012777825028041638
37.5,DG005,GENERIC,model.13.cv2.conv,18528,0.08970240000000018,0.2393923603802327,0.052995088856090944,0.1812495337761827,0.21438740366382966,0.04122072336894725,0.16126530813968004,0.01998422563650265
37.5,DG006,GENERIC,model.13.m.0.cv1.conv,15432,0.049612799999999346,0.22208224650547778,0.07030520273084587,0.2404521907984543,0.1880692784393983,0.06753884859337861,0.26422809547334164,-0.023775904674887327
37.5,DG007,GENERIC,model.13.m.0.cv2.conv,1560,0.0050688000000000955,0.2899853188058779,0.002402130430445737,0.008215572989606004,0.2529862843202488,0.002621842712528133,0.01025727445744294,-0.002041701467836936
37.5,DG008,GENERIC,model.13.m.0.m.0.cv1.conv,6936,0.022272000000000958,0.26796858731651957,0.02441886191980408,0.08351542442598968,0.24587678302079893,0.009731344011977977,0.03807134039494024,0.045444084031049437
37.5,DG009,GENERIC,model.13.m.0.m.1.cv1.conv,6936,0.022272000000000958,0.2779214466446358,0.014466002591687843,0.049475456725215396,0.2407860327900318,0.01482209424274511,0.05798757032809233,-0.008512113602876938
37.5,DG010,GENERIC,model.16.cv2.conv,26688,0.2107391999999999,0.19048146611273664,0.10190598312358701,0.3485306342312285,0.19669771296568006,0.05891041406709685,0.2304716002224088,0.11805903400881967
