method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
FP32 baseline,/home/afm176/yolo_project/runs/baseline/baseline_yolo26n_mio_11000_e100_img640_b16_s42_20260701_001856/weights/best.pt,val,5.137639,2376981,3,0.000126,0.506632,0.690055,0.000000,0.000000,0.248087,1.015612,0.087016,1.350715,740.348588,,,original trained model
L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p20/combo_20_7_22_10_8_amt_0p20/yolo26n_l2_combo_20_7_22_10_8_amt_0p20.pt,val,4.729196,2376981,299735,12.609903,0.165960,0.249747,0.340672,0.440308,0.274131,1.002958,0.064061,1.341149,745.629276,"20,7,22,10,8",0.2,mask-based structured pruning; architecture shape unchanged
