layer_id,type,noise_std_ratio,map50_95,map50,drop_map50_95,drop_map50
baseline,none,0.01,0.418412,0.571617,0.000000,0.000000
0,Conv,0.01,0.418500,0.572344,-0.000088,-0.000727
