layer_id,type,noise_std_ratio,map50_95,map50,drop_map50_95,drop_map50
baseline,none,0.7,0.506632,0.690055,0.000000,0.000000
0,Conv,0.7,0.281437,0.401621,0.225195,0.288434
1,Conv,0.7,0.424507,0.597021,0.082125,0.093034
2,C3k2,0.7,0.497487,0.680699,0.009145,0.009356
3,Conv,0.7,0.439717,0.611154,0.066915,0.078901
4,C3k2,0.7,0.498336,0.685033,0.008297,0.005022
5,Conv,0.7,0.497770,0.674632,0.008863,0.015423
6,C3k2,0.7,0.499033,0.677135,0.007600,0.012920
7,Conv,0.7,0.509161,0.692442,-0.002529,-0.002387
8,C3k2,0.7,0.489814,0.663935,0.016819,0.026120
9,SPPF,0.7,0.495566,0.674773,0.011066,0.015282
10,C2PSA,0.7,0.495093,0.673866,0.011540,0.016189
11,Upsample,0.7,0.500049,0.680824,0.006584,0.009232
12,Concat,0.7,0.491166,0.670751,0.015467,0.019305
13,C3k2,0.7,0.489760,0.674601,0.016872,0.015454
14,Upsample,0.7,0.500881,0.684480,0.005751,0.005575
15,Concat,0.7,0.500040,0.687430,0.006592,0.002625
16,C3k2,0.7,0.479491,0.652273,0.027141,0.037782
17,Conv,0.7,0.502929,0.685375,0.003704,0.004680
18,Concat,0.7,0.502031,0.686433,0.004601,0.003622
19,C3k2,0.7,0.478548,0.657829,0.028084,0.032227
20,Conv,0.7,0.506178,0.690559,0.000454,-0.000504
21,Concat,0.7,0.508098,0.690788,-0.001466,-0.000733
22,C3k2,0.7,0.481868,0.672946,0.024764,0.017109
