pruning_method,layer_id,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
l2_structured,13,0.30,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_13_amt_0p30/yolo26n_l2_layer_13_amt_0p30.pt,val,4.726361,2376981,35907,1.510614,0.172869,0.259365,0.333763,0.430691,0.265658,0.988949,0.049125,1.303731,767.029164,13,0.3,mask-based structured pruning; architecture shape unchanged
l2_structured,13,0.40,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_13_amt_0p40/yolo26n_l2_layer_13_amt_0p40.pt,val,4.726361,2376981,47683,2.006032,0.068373,0.138300,0.438260,0.551756,0.256183,0.987455,0.048843,1.292481,773.705617,13,0.4,mask-based structured pruning; architecture shape unchanged
l2_structured,13,0.50,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_13_amt_0p50/yolo26n_l2_layer_13_amt_0p50.pt,val,4.726361,2376981,59395,2.498758,0.045339,0.093039,0.461293,0.597017,0.277519,0.990794,0.078866,1.347179,742.291844,13,0.5,mask-based structured pruning; architecture shape unchanged
l2_structured,16,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_16_amt_0p05/yolo26n_l2_layer_16_amt_0p05.pt,val,4.726361,2376981,1763,0.074170,0.467004,0.650860,0.039628,0.039195,0.256768,0.986085,0.069655,1.312508,761.899901,16,0.05,mask-based structured pruning; architecture shape unchanged
l2_structured,16,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_16_amt_0p10/yolo26n_l2_layer_16_amt_0p10.pt,val,4.726361,2376981,3491,0.146867,0.391477,0.568352,0.115156,0.121704,0.272248,0.983628,0.062562,1.318439,758.472942,16,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,16,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_16_amt_0p20/yolo26n_l2_layer_16_amt_0p20.pt,val,4.726361,2376981,6691,0.281492,0.264722,0.429991,0.241911,0.260064,0.245146,0.970115,0.038949,1.254210,797.314822,16,0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,16,0.30,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_16_amt_0p30/yolo26n_l2_layer_16_amt_0p30.pt,val,4.726361,2376981,10211,0.429579,0.234054,0.376243,0.272578,0.313812,0.266572,0.992491,0.048455,1.307517,764.808577,16,0.3,mask-based structured pruning; architecture shape unchanged
l2_structured,16,0.40,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_16_amt_0p40/yolo26n_l2_layer_16_amt_0p40.pt,val,4.726361,2376981,13411,0.564203,0.203152,0.341129,0.303480,0.348927,0.295935,0.971947,0.043521,1.311403,762.542142,16,0.4,mask-based structured pruning; architecture shape unchanged
l2_structured,16,0.50,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_16_amt_0p50/yolo26n_l2_layer_16_amt_0p50.pt,val,4.726361,2376981,16899,0.710944,0.198812,0.347293,0.307820,0.342762,0.285729,0.988988,0.055482,1.330199,751.767023,16,0.5,mask-based structured pruning; architecture shape unchanged
l2_structured,17,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_17_amt_0p05/yolo26n_l2_layer_17_amt_0p05.pt,val,4.726361,2376981,1731,0.072823,0.487526,0.683480,0.019106,0.006575,0.294927,1.015691,0.078549,1.389168,719.855572,17,0.05,mask-based structured pruning; architecture shape unchanged
l2_structured,17,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_17_amt_0p10/yolo26n_l2_layer_17_amt_0p10.pt,val,4.726361,2376981,3459,0.145521,0.473365,0.676999,0.033267,0.013056,0.296882,0.987473,0.067069,1.351424,739.959980,17,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,17,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_17_amt_0p20/yolo26n_l2_layer_17_amt_0p20.pt,val,4.726361,2376981,7491,0.315148,0.437900,0.647309,0.068732,0.042746,0.257933,0.971711,0.043012,1.272656,785.758020,17,0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,17,0.30,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_17_amt_0p30/yolo26n_l2_layer_17_amt_0p30.pt,val,4.726361,2376981,10947,0.460542,0.393897,0.611630,0.112736,0.078425,0.278773,0.982847,0.063655,1.325275,754.560492,17,0.3,mask-based structured pruning; architecture shape unchanged
l2_structured,17,0.40,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_17_amt_0p40/yolo26n_l2_layer_17_amt_0p40.pt,val,4.726361,2376981,14979,0.630169,0.350025,0.570426,0.156608,0.119629,0.260777,0.985383,0.071255,1.317416,759.061815,17,0.4,mask-based structured pruning; architecture shape unchanged
l2_structured,17,0.50,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_17_amt_0p50/yolo26n_l2_layer_17_amt_0p50.pt,val,4.726361,2376981,18435,0.775564,0.330243,0.544833,0.176389,0.145222,0.252061,0.995445,0.080315,1.327820,753.114187,17,0.5,mask-based structured pruning; architecture shape unchanged
l2_structured,19,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_19_amt_0p05/yolo26n_l2_layer_19_amt_0p05.pt,val,4.726361,2376981,5059,0.212833,0.355349,0.528053,0.151284,0.162002,0.315962,0.973727,0.044299,1.333988,749.631766,19,0.05,mask-based structured pruning; architecture shape unchanged
l2_structured,19,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_19_amt_0p10/yolo26n_l2_layer_19_amt_0p10.pt,val,4.726361,2376981,9219,0.387845,0.253362,0.401779,0.253270,0.288276,0.265482,0.978890,0.042450,1.286822,777.108266,19,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,19,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_19_amt_0p20/yolo26n_l2_layer_19_amt_0p20.pt,val,4.726361,2376981,18499,0.778256,0.132349,0.253409,0.374284,0.436646,0.248733,0.998411,0.064648,1.311791,762.316339,19,0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,19,0.30,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_19_amt_0p30/yolo26n_l2_layer_19_amt_0p30.pt,val,4.726361,2376981,28611,1.203670,0.112155,0.219410,0.394477,0.470645,0.282064,0.982630,0.068911,1.333604,749.847594,19,0.3,mask-based structured pruning; architecture shape unchanged
l2_structured,19,0.40,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_19_amt_0p40/yolo26n_l2_layer_19_amt_0p40.pt,val,4.726361,2376981,37891,1.594081,0.090395,0.178239,0.416237,0.511816,0.279761,0.985617,0.047414,1.312791,761.735741,19,0.4,mask-based structured pruning; architecture shape unchanged
l2_structured,19,0.50,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_19_amt_0p50/yolo26n_l2_layer_19_amt_0p50.pt,val,4.726361,2376981,47107,1.981800,0.086887,0.172096,0.419745,0.517959,0.281708,0.972404,0.042661,1.296773,771.145233,19,0.5,mask-based structured pruning; architecture shape unchanged
l2_structured,20,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_20_amt_0p05/yolo26n_l2_layer_20_amt_0p05.pt,val,4.726361,2376981,6915,0.290915,0.503472,0.688338,0.003161,0.001717,0.282396,1.002116,0.078188,1.362699,733.837520,20,0.05,mask-based structured pruning; architecture shape unchanged
l2_structured,20,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_20_amt_0p10/yolo26n_l2_layer_20_amt_0p10.pt,val,4.726361,2376981,14979,0.630169,0.489231,0.683530,0.017401,0.006525,0.258992,0.970943,0.039142,1.269076,787.974598,20,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,20,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_20_amt_0p20/yolo26n_l2_layer_20_amt_0p20.pt,val,4.726361,2376981,29955,1.260212,0.459252,0.668721,0.047380,0.021334,0.252470,0.983462,0.066616,1.302548,767.726276,20,0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,20,0.30,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_20_amt_0p30/yolo26n_l2_layer_20_amt_0p30.pt,val,4.726361,2376981,43779,1.841790,0.449436,0.661627,0.057196,0.028428,0.274119,0.971851,0.049063,1.295032,772.181542,20,0.3,mask-based structured pruning; architecture shape unchanged
l2_structured,20,0.40,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_20_amt_0p40/yolo26n_l2_layer_20_amt_0p40.pt,val,4.726361,2376981,58755,2.471833,0.441846,0.656143,0.064786,0.033912,0.260978,0.987132,0.073290,1.321400,756.772938,20,0.4,mask-based structured pruning; architecture shape unchanged
l2_structured,20,0.50,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_20_amt_0p50/yolo26n_l2_layer_20_amt_0p50.pt,val,4.726361,2376981,73731,3.101876,0.414334,0.633618,0.092298,0.056437,0.258899,0.989634,0.049566,1.298099,770.357420,20,0.5,mask-based structured pruning; architecture shape unchanged
l2_structured,22,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_22_amt_0p05/yolo26n_l2_layer_22_amt_0p05.pt,val,4.726361,2376981,22585,0.950155,0.466189,0.658617,0.040443,0.031438,0.251380,0.985382,0.068261,1.305022,766.270320,22,0.05,mask-based structured pruning; architecture shape unchanged
l2_structured,22,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_22_amt_0p10/yolo26n_l2_layer_22_amt_0p10.pt,val,4.726361,2376981,46136,1.940949,0.396377,0.581774,0.110255,0.108281,0.291470,0.981245,0.046155,1.318870,758.224838,22,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,22,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_22_amt_0p20/yolo26n_l2_layer_22_amt_0p20.pt,val,4.726361,2376981,92397,3.887158,0.348809,0.517914,0.157823,0.172141,0.250508,0.994660,0.060716,1.305884,765.764733,22,0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,22,0.30,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_22_amt_0p30/yolo26n_l2_layer_22_amt_0p30.pt,val,4.726361,2376981,137561,5.787215,0.347797,0.515807,0.158836,0.174248,0.299664,0.994100,0.063139,1.356904,736.972008,22,0.3,mask-based structured pruning; architecture shape unchanged
l2_structured,22,0.40,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_22_amt_0p40/yolo26n_l2_layer_22_amt_0p40.pt,val,4.726361,2376981,183821,7.733381,0.347604,0.515333,0.159028,0.174722,0.246086,0.981622,0.073654,1.301362,768.425852,22,0.4,mask-based structured pruning; architecture shape unchanged
l2_structured,22,0.50,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_22_amt_0p50/yolo26n_l2_layer_22_amt_0p50.pt,val,4.726361,2376981,229954,9.674204,0.347605,0.515334,0.159027,0.174721,0.259258,0.982341,0.079347,1.320945,757.033638,22,0.5,mask-based structured pruning; architecture shape unchanged
