pruning_method,layer_id,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
l2_structured,2,0.30,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_2_amt_0p30/yolo26n_l2_layer_2_amt_0p30.pt,val,4.726157,2376981,1883,0.079218,0.000236,0.000584,0.506396,0.689471,0.285421,0.984320,0.050301,1.320042,757.551653,2,0.3,mask-based structured pruning; architecture shape unchanged
l2_structured,2,0.40,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_2_amt_0p40/yolo26n_l2_layer_2_amt_0p40.pt,val,4.726157,2376981,2531,0.106480,0.000000,0.000000,0.506632,0.690055,0.289714,0.992589,0.044726,1.327028,753.563357,2,0.4,mask-based structured pruning; architecture shape unchanged
l2_structured,2,0.50,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_2_amt_0p50/yolo26n_l2_layer_2_amt_0p50.pt,val,4.726157,2376981,3203,0.134751,0.000000,0.000000,0.506632,0.690055,0.328015,0.995044,0.050040,1.373099,728.279834,2,0.5,mask-based structured pruning; architecture shape unchanged
l2_structured,3,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_3_amt_0p05/yolo26n_l2_layer_3_amt_0p05.pt,val,4.726157,2376981,1731,0.072823,0.442196,0.594305,0.064437,0.095750,0.254567,1.007804,0.043268,1.305639,765.908449,3,0.05,mask-based structured pruning; architecture shape unchanged
l2_structured,3,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_3_amt_0p10/yolo26n_l2_layer_3_amt_0p10.pt,val,4.726157,2376981,3459,0.145521,0.399342,0.535521,0.107291,0.154534,0.247263,0.984305,0.065881,1.297449,770.743066,3,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,3,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_3_amt_0p20/yolo26n_l2_layer_3_amt_0p20.pt,val,4.726157,2376981,7491,0.315148,0.285504,0.374611,0.221128,0.315444,0.266541,0.985828,0.060401,1.312769,761.748595,3,0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,3,0.30,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_3_amt_0p30/yolo26n_l2_layer_3_amt_0p30.pt,val,4.726157,2376981,10947,0.460542,0.147443,0.195830,0.359189,0.494225,0.269498,0.983845,0.057760,1.311103,762.716345,3,0.3,mask-based structured pruning; architecture shape unchanged
l2_structured,3,0.40,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_3_amt_0p40/yolo26n_l2_layer_3_amt_0p40.pt,val,4.726157,2376981,14979,0.630169,0.019269,0.028095,0.487363,0.661960,0.244126,0.982347,0.072012,1.298484,770.128681,3,0.4,mask-based structured pruning; architecture shape unchanged
l2_structured,3,0.50,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_3_amt_0p50/yolo26n_l2_layer_3_amt_0p50.pt,val,4.726157,2376981,18435,0.775564,0.002620,0.004536,0.504013,0.685519,0.270734,1.000853,0.054992,1.326578,753.818950,3,0.5,mask-based structured pruning; architecture shape unchanged
l2_structured,4,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_4_amt_0p05/yolo26n_l2_layer_4_amt_0p05.pt,val,4.726157,2376981,1347,0.056669,0.466020,0.641876,0.040612,0.048179,0.248963,1.009241,0.060134,1.318338,758.530565,4,0.05,mask-based structured pruning; architecture shape unchanged
l2_structured,4,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_4_amt_0p10/yolo26n_l2_layer_4_amt_0p10.pt,val,4.726157,2376981,2643,0.111191,0.174035,0.260791,0.332597,0.429264,0.278890,0.982614,0.055253,1.316756,759.441932,4,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,4,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_4_amt_0p20/yolo26n_l2_layer_4_amt_0p20.pt,val,4.726157,2376981,5059,0.212833,0.007483,0.009835,0.499149,0.680221,0.256754,0.982253,0.070864,1.309871,763.434196,4,0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,4,0.30,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_4_amt_0p30/yolo26n_l2_layer_4_amt_0p30.pt,val,4.726157,2376981,7747,0.325918,0.000001,0.000004,0.506632,0.690051,0.257841,1.003006,0.052655,1.313502,761.323695,4,0.3,mask-based structured pruning; architecture shape unchanged
l2_structured,4,0.40,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_4_amt_0p40/yolo26n_l2_layer_4_amt_0p40.pt,val,4.726157,2376981,10163,0.427559,0.000000,0.000000,0.506632,0.690055,0.288440,0.977369,0.058907,1.324716,754.878760,4,0.4,mask-based structured pruning; architecture shape unchanged
l2_structured,4,0.50,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_4_amt_0p50/yolo26n_l2_layer_4_amt_0p50.pt,val,4.726157,2376981,12803,0.538624,0.000000,0.000000,0.506632,0.690055,0.259084,0.981881,0.054532,1.295498,771.903962,4,0.5,mask-based structured pruning; architecture shape unchanged
l2_structured,5,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_5_amt_0p05/yolo26n_l2_layer_5_amt_0p05.pt,val,4.726157,2376981,6915,0.290915,0.468495,0.632627,0.038137,0.057428,0.247868,0.994279,0.063854,1.306001,765.696423,5,0.05,mask-based structured pruning; architecture shape unchanged
l2_structured,5,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_5_amt_0p10/yolo26n_l2_layer_5_amt_0p10.pt,val,4.726157,2376981,14979,0.630169,0.430218,0.574329,0.076415,0.115726,0.243020,0.971481,0.042860,1.257360,795.317047,5,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,5,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_5_amt_0p20/yolo26n_l2_layer_5_amt_0p20.pt,val,4.726157,2376981,29955,1.260212,0.360435,0.472247,0.146197,0.217808,0.241095,1.028485,0.066352,1.335932,748.541216,5,0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,5,0.30,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_5_amt_0p30/yolo26n_l2_layer_5_amt_0p30.pt,val,4.726157,2376981,43779,1.841790,0.260438,0.344203,0.246194,0.345852,0.250649,0.982265,0.048312,1.281227,780.501797,5,0.3,mask-based structured pruning; architecture shape unchanged
l2_structured,5,0.40,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_5_amt_0p40/yolo26n_l2_layer_5_amt_0p40.pt,val,4.726157,2376981,58755,2.471833,0.083777,0.120466,0.422855,0.569589,0.294002,1.009155,0.054518,1.357675,736.553218,5,0.4,mask-based structured pruning; architecture shape unchanged
l2_structured,5,0.50,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_5_amt_0p50/yolo26n_l2_layer_5_amt_0p50.pt,val,4.726157,2376981,73731,3.101876,0.033837,0.054473,0.472796,0.635582,0.281540,0.996750,0.064786,1.343076,744.559732,5,0.5,mask-based structured pruning; architecture shape unchanged
l2_structured,6,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_6_amt_0p05/yolo26n_l2_layer_6_amt_0p05.pt,val,4.726157,2376981,4675,0.196678,0.473675,0.643863,0.032957,0.046192,0.268334,0.983434,0.048924,1.300693,768.820969,6,0.05,mask-based structured pruning; architecture shape unchanged
l2_structured,6,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_6_amt_0p10/yolo26n_l2_layer_6_amt_0p10.pt,val,4.726157,2376981,8387,0.352843,0.321437,0.459817,0.185195,0.230238,0.245542,0.972213,0.042759,1.260514,793.327068,6,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,6,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_6_amt_0p20/yolo26n_l2_layer_6_amt_0p20.pt,val,4.726157,2376981,16835,0.708251,0.049510,0.074334,0.457122,0.615721,0.257228,0.981107,0.061843,1.300178,769.125721,6,0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,6,0.30,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_6_amt_0p30/yolo26n_l2_layer_6_amt_0p30.pt,val,4.726157,2376981,26179,1.101355,0.039464,0.058176,0.467168,0.631879,0.294421,0.972376,0.053163,1.319959,757.599184,6,0.3,mask-based structured pruning; architecture shape unchanged
