epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1904.87,1.18322,0.81907,0.00485,0.61419,0.62791,0.62848,0.45993,1.09044,0.76852,0.00554,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1962.76,1.167,0.82224,0.00483,0.66946,0.62202,0.65085,0.46542,1.08647,0.76401,0.00557,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2020.93,1.16378,0.80924,0.00483,0.68959,0.58204,0.65035,0.46765,1.08844,0.76252,0.00558,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2078.95,1.16808,0.81163,0.00485,0.64989,0.61107,0.64561,0.46671,1.07683,0.75812,0.00548,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2136.9,1.16221,0.78956,0.00485,0.66754,0.63246,0.65427,0.4742,1.08745,0.75698,0.00558,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2195.01,1.16723,0.79269,0.00479,0.67662,0.64086,0.66623,0.48767,1.07217,0.74937,0.00544,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2253.2,1.15695,0.78853,0.00473,0.6781,0.63403,0.67189,0.48471,1.07716,0.74075,0.00549,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2311.18,1.16003,0.77927,0.00476,0.66663,0.63335,0.66012,0.47947,1.0692,0.73943,0.00548,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2369.24,1.14561,0.78029,0.00472,0.67227,0.61299,0.65509,0.47827,1.06392,0.74648,0.0054,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2427.15,1.15262,0.77641,0.00467,0.67872,0.62367,0.6672,0.48377,1.07607,0.73807,0.00544,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2485,1.15143,0.76576,0.0047,0.67758,0.61884,0.65663,0.48219,1.07036,0.7363,0.0054,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2543.27,1.14632,0.76549,0.0047,0.64138,0.66105,0.6619,0.47937,1.0661,0.73945,0.00538,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2601.36,1.13992,0.75391,0.00462,0.64518,0.64973,0.65683,0.47682,1.06791,0.73921,0.00539,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2659.38,1.14035,0.74565,0.00459,0.65825,0.6394,0.66303,0.48486,1.06139,0.73057,0.00539,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2717.39,1.12578,0.73891,0.0046,0.68681,0.61689,0.66788,0.4844,1.06571,0.72687,0.00538,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2775.34,1.12547,0.73021,0.00458,0.6479,0.6411,0.6713,0.48659,1.06327,0.72319,0.00538,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2833.27,1.12954,0.73615,0.00457,0.66029,0.67863,0.67131,0.48792,1.06363,0.72204,0.00536,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2891.36,1.12888,0.73314,0.00459,0.6807,0.60308,0.66113,0.48135,1.05717,0.71846,0.0053,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2949.45,1.12316,0.72043,0.00456,0.67826,0.61584,0.65768,0.48307,1.05491,0.72682,0.00528,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3007.31,1.12323,0.71084,0.00451,0.6618,0.62094,0.67142,0.49464,1.05171,0.71659,0.00529,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3065.35,1.12182,0.70991,0.00451,0.64521,0.63137,0.66713,0.48732,1.05906,0.71671,0.00531,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3123.28,1.11043,0.71162,0.00444,0.67437,0.63928,0.66002,0.48647,1.0522,0.71927,0.00526,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3181.31,1.11096,0.70067,0.00444,0.68678,0.62589,0.66195,0.4878,1.05138,0.72575,0.00528,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3239.06,1.1072,0.69745,0.00449,0.66366,0.64552,0.67186,0.49285,1.05273,0.71234,0.00528,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
