dataset,split,mode,map50_95,map50,latency_ms,fps
GEN,val,adapted_bypass,0.5066323602902936,0.6900551495872946,1.3205996110583798,757.2317844305294
SNOW,val,adapted_bypass,0.020819103649177228,0.0382767714180516,1.5262854006141424,655.1854584978818
