step,global_candidate_rank_this_step,group_id,root_module,current_channel_index,l1_score,current_root_out_channels,minimum_remaining_out_channels,rejection_reason
575,57,DG016,model.19.cv2.conv,33,4.634061813354492,128,64,would prune protected output root model.23.cv3.1.0.0.conv
575,58,DG010,model.16.cv2.conv,36,4.655674457550049,64,32,would prune protected output root model.23.cv3.0.0.0.conv
575,59,DG010,model.16.cv2.conv,5,4.658441066741943,64,32,would prune protected output root model.23.cv3.0.0.0.conv
575,60,DG016,model.19.cv2.conv,124,4.658515930175781,128,64,would prune protected output root model.23.cv3.1.0.0.conv
575,61,DG010,model.16.cv2.conv,54,4.711697578430176,64,32,would prune protected output root model.23.cv3.0.0.0.conv
575,62,DG016,model.19.cv2.conv,24,4.722940444946289,128,64,would prune protected output root model.23.cv3.1.0.0.conv
575,63,DG010,model.16.cv2.conv,17,4.76203727722168,64,32,would prune protected output root model.23.cv3.0.0.0.conv
575,64,DG010,model.16.cv2.conv,25,4.8223185539245605,64,32,would prune protected output root model.23.cv3.0.0.0.conv
575,65,DG016,model.19.cv2.conv,42,4.840981483459473,128,64,would prune protected output root model.23.cv3.1.0.0.conv
575,66,DG016,model.19.cv2.conv,118,4.845660209655762,128,64,would prune protected output root model.23.cv3.1.0.0.conv
575,67,DG016,model.19.cv2.conv,87,4.849555015563965,128,64,would prune protected output root model.23.cv3.1.0.0.conv
575,68,DG010,model.16.cv2.conv,18,4.858777046203613,64,32,would prune protected output root model.23.cv3.0.0.0.conv
575,69,DG016,model.19.cv2.conv,79,4.891280174255371,128,64,would prune protected output root model.23.cv3.1.0.0.conv
575,70,DG010,model.16.cv2.conv,4,4.898501873016357,64,32,would prune protected output root model.23.cv3.0.0.0.conv
575,71,DG010,model.16.cv2.conv,43,4.904821872711182,64,32,would prune protected output root model.23.cv3.0.0.0.conv
575,72,DG010,model.16.cv2.conv,10,4.91358757019043,64,32,would prune protected output root model.23.cv3.0.0.0.conv
575,73,DG016,model.19.cv2.conv,119,4.922377109527588,128,64,would prune protected output root model.23.cv3.1.0.0.conv
575,74,DG010,model.16.cv2.conv,32,4.925721168518066,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,1,DG010,model.16.cv2.conv,60,2.573620080947876,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,2,DG010,model.16.cv2.conv,6,2.8480944633483887,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,3,DG010,model.16.cv2.conv,23,2.891166925430298,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,4,DG010,model.16.cv2.conv,61,3.1263785362243652,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,5,DG016,model.19.cv2.conv,112,3.1359877586364746,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,6,DG010,model.16.cv2.conv,1,3.1539769172668457,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,7,DG010,model.16.cv2.conv,29,3.161224842071533,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,8,DG016,model.19.cv2.conv,51,3.185950517654419,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,9,DG016,model.19.cv2.conv,85,3.2190139293670654,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,10,DG010,model.16.cv2.conv,35,3.257957935333252,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,11,DG010,model.16.cv2.conv,24,3.3456757068634033,64,32,would prune protected output root model.23.cv3.0.0.0.conv
