layer_id,layer_type,gen_layer_params,snow_layer_params,gen_layer_params_percent,snow_layer_params_percent,candidate_for_size_reduction,status,error,multi_input_policy,gen_baseline_map50_95,snow_baseline_map50_95,gen_input_shapes,gen_output_shape,snow_input_shapes,snow_output_shape,spatial_scale,adapter_repr,gen_model_path,snow_model_path,gen_model_sha256,snow_model_sha256,gen_params_after,snow_params_after,gen_params_reduced,snow_params_reduced,gen_params_reduction_percent,snow_params_reduction_percent,mean_params_reduction_percent,gen_replaced_model_mib,snow_replaced_model_mib,gen_replaced_map50_95,gen_replaced_map50,gen_replaced_map75,gen_precision,gen_recall,gen_latency_ms,gen_fps,snow_replaced_map50_95,snow_replaced_map50,snow_replaced_map75,snow_precision,snow_recall,snow_latency_ms,snow_fps,ad_gen_map50_95,ad_snow_map50_95,nad_gen,nad_snow,combined_nad_signed,negative_or_zero_sensitivity,score_denominator,physical_layer_score
10,C2PSA,249728,249728,9.956899473304388,9.961546439455587,True,ok,,concat,0.6414207460892849,0.1899135424242684,"((1, 256, 20, 20))","(1, 256, 20, 20)","((1, 256, 20, 20))","(1, 256, 20, 20)",1/1 x 1/1,"DynamicNoParamLayerAdapter(target_channels=256, h_scale=1/1, w_scale=1/1, multi_input_policy=concat)",/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/GEN_replace_L10_C2PSA.pt,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L10_C2PSA.pt,2fd55fe228bfced7dc7adc536a316172fdb924ce6220b9ead6c1560597b02d80,fb2eca247681dd3b4c7305996451cbd51a91fb48e1392483769c9fe91d017046,2258362,2257192,249728,249728,9.956899473304388,9.961546439455587,9.959222956379987,4.698542594909668,4.693327903747559,0.021833558185143202,0.03798008919898353,0.022659340855619867,0.09465104667876584,0.10980867957683635,1.2094347081570465,826.832563391383,0.04580569005910101,0.13755657864802753,0.03370773643764785,0.7524263027842991,0.0415770566019363,1.038222936913371,963.184268470308,0.6195871879041417,0.14410785236516738,0.965960629870079,0.7588076686139068,0.8623841492419929,False,0.8623841492419929,11.548476354921196
11,Upsample,0,0,0.0,0.0,False,skipped_zero_parameter_layer,Top-level layer has no trainable parameters; replacing it cannot reduce model parameters.,concat,0.6414207460892849,0.1899135424242684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Concat,0,0,0.0,0.0,False,skipped_zero_parameter_layer,Top-level layer has no trainable parameters; replacing it cannot reduce model parameters.,concat,0.6414207460892849,0.1899135424242684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,C3k2,119808,119808,4.776862074327477,4.77909147479776,True,ok,,concat,0.6414207460892849,0.1899135424242684,"((1, 384, 40, 40))","(1, 128, 40, 40)","((1, 384, 40, 40))","(1, 128, 40, 40)",1/1 x 1/1,"DynamicNoParamLayerAdapter(target_channels=128, h_scale=1/1, w_scale=1/1, multi_input_policy=concat)",/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/GEN_replace_L13_C3k2.pt,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L13_C3k2.pt,981764d74232519854a2d892457cc4f67043f7e1c3f1ca0ce5253b95db0de745,1f4bdec6a4b969baad956ef613dcd1c331b94ffc0e1a0ae608ac78ac1632e36e,2388282,2387112,119808,119808,4.776862074327477,4.77909147479776,4.777976774562619,4.944903373718262,4.9396162033081055,0.021531586019236652,0.04008836248139837,0.02225187745497548,0.12259433408494166,0.0685267535146634,1.2199954042549839,819.6752188674607,0.03232015552615068,0.07020215744400526,0.0273672619047619,0.2715298748921484,0.09636973975636767,1.0271946340799332,973.5253347538253,0.6198891600700482,0.1575933868981177,0.9664314162731501,0.8298164779953017,0.8981239471342259,False,0.8981239471342259,5.319952540858532
14,Upsample,0,0,0.0,0.0,False,skipped_zero_parameter_layer,Top-level layer has no trainable parameters; replacing it cannot reduce model parameters.,concat,0.6414207460892849,0.1899135424242684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Concat,0,0,0.0,0.0,False,skipped_zero_parameter_layer,Top-level layer has no trainable parameters; replacing it cannot reduce model parameters.,concat,0.6414207460892849,0.1899135424242684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,C3k2,34304,34304,1.3677340127347903,1.3683723453480765,True,ok,,concat,0.6414207460892849,0.1899135424242684,"((1, 256, 80, 80))","(1, 64, 80, 80)","((1, 256, 80, 80))","(1, 64, 80, 80)",1/1 x 1/1,"DynamicNoParamLayerAdapter(target_channels=64, h_scale=1/1, w_scale=1/1, multi_input_policy=concat)",/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/GEN_replace_L16_C3k2.pt,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L16_C3k2.pt,0bd321fae4753b4c648a9698c953b996f6c00f3013f6fbdcb2eb7e3a7d519aad,3f268dc17d2fb5db887fb00753ba95fd5016aed553e8c22853d81293d8d19899,2473786,2472616,34304,34304,1.3677340127347903,1.3683723453480765,1.3680531790414334,5.109698295593262,5.1044111251831055,0.0002770133003312013,0.0013421661000346035,5.756820130664603e-07,0.10355301643107272,0.01397618130685489,1.1864711557599632,842.8354917397685,0.015949692284754957,0.04104801430409262,0.0006252860411899312,0.9486736789599358,0.05,1.007058508694172,992.9909646428345,0.6411437327889536,0.17396385013951343,0.9995681254433689,0.9160160350801987,0.9577920802617839,False,0.9577920802617839,1.428340458471443
17,Conv,36992,36992,1.4749072002998298,1.475595551513411,True,ok,,concat,0.6414207460892849,0.1899135424242684,"((1, 64, 80, 80))","(1, 64, 40, 40)","((1, 64, 80, 80))","(1, 64, 40, 40)",1/2 x 1/2,"DynamicNoParamLayerAdapter(target_channels=64, h_scale=1/2, w_scale=1/2, multi_input_policy=concat)",/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/GEN_replace_L17_Conv.pt,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L17_Conv.pt,ecbcc2224072f7f372cdf5541661d39ba750c15149a1d07e44e3273f5bc9b0fb,526522fe32b97b604a451b59f2e9a75c3416bbb7c851de77cdaee3ab9f79e273,2471098,2469928,36992,36992,1.4749072002998298,1.475595551513411,1.4752513759066204,5.125399589538574,5.1201581954956055,0.16731384322058757,0.3025820588714401,0.17246868716289485,0.5272175535947382,0.2751341447632311,1.2313506777652283,812.1163353845669,0.09474749196065071,0.22590664608245298,0.06483122885143386,0.4996720816136314,0.21652894367638412,1.1071546748280525,903.2161654877226,0.47410690286869733,0.09516605046361767,0.7391511823702415,0.5011019711854774,0.6201265767778594,False,0.6201265767778594,2.3789520255234637
18,Concat,0,0,0.0,0.0,False,skipped_zero_parameter_layer,Top-level layer has no trainable parameters; replacing it cannot reduce model parameters.,concat,0.6414207460892849,0.1899135424242684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,C3k2,95232,95232,3.796992930875686,3.7987650184289885,True,ok,,concat,0.6414207460892849,0.1899135424242684,"((1, 192, 40, 40))","(1, 128, 40, 40)","((1, 192, 40, 40))","(1, 128, 40, 40)",1/1 x 1/1,"DynamicNoParamLayerAdapter(target_channels=128, h_scale=1/1, w_scale=1/1, multi_input_policy=concat)",/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/GEN_replace_L19_C3k2.pt,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L19_C3k2.pt,9657f869a4977cbf2a177cdd9f6610d0fc3294f5cc0c5dc59211803e19031b96,32f548099bdeb692ddb3568e397a42e92e77c6ff31c814d5cbf5366facf37f70,2412858,2411688,95232,95232,3.796992930875686,3.7987650184289885,3.7978789746523374,4.991778373718262,4.9864912033081055,0.07100901678789337,0.12246946160713845,0.07514867712250071,0.2879341678361816,0.15162194944449647,1.2296609838747166,813.232275491864,0.08004569358981847,0.18432920382810264,0.06349775412190647,0.48215087723952277,0.17968285128978917,1.1831193510442972,845.223264345508,0.5704117293013915,0.10986784883444992,0.8892941688886237,0.5785150834004468,0.7339046261445352,False,0.7339046261445352,5.1748944472580325
20,Conv,147712,147712,5.88942183095503,5.892170472133135,True,ok,,concat,0.6414207460892849,0.1899135424242684,"((1, 128, 40, 40))","(1, 128, 20, 20)","((1, 128, 40, 40))","(1, 128, 20, 20)",1/2 x 1/2,"DynamicNoParamLayerAdapter(target_channels=128, h_scale=1/2, w_scale=1/2, multi_input_policy=concat)",/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/GEN_replace_L20_Conv.pt,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L20_Conv.pt,b4b1a8569353d5111b1da3a3c2f173ab358e02b81ca76e446d6829815e63d8d7,aca72d0c0a27a30b44cb7dd240fc32b521d004cff116bd75ca79744a1d0fdf33,2360378,2359208,147712,147712,5.88942183095503,5.892170472133135,5.890796151544082,4.913973808288574,4.9087324142456055,0.4315776749134486,0.6030473970012769,0.4957979313992254,0.7374374469796209,0.5761233027268053,1.244306062348187,803.6607955705481,0.12534378732341755,0.24453916410692428,0.11534255501336019,0.3966873355792883,0.22244264590309243,1.088631646707654,918.5843558969625,0.20984307117583628,0.06456975510085083,0.3271535453993975,0.3399955278418296,0.33357453662061354,False,0.33357453662061354,17.659609786834235
21,Concat,0,0,0.0,0.0,False,skipped_zero_parameter_layer,Top-level layer has no trainable parameters; replacing it cannot reduce model parameters.,concat,0.6414207460892849,0.1899135424242684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,C3k2,463104,463104,18.46440917191967,18.473026662199032,True,ok,,concat,0.6414207460892849,0.1899135424242684,"((1, 384, 20, 20))","(1, 256, 20, 20)","((1, 384, 20, 20))","(1, 256, 20, 20)",1/1 x 1/1,"DynamicNoParamLayerAdapter(target_channels=256, h_scale=1/1, w_scale=1/1, multi_input_policy=concat)",/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/GEN_replace_L22_C3k2.pt,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L22_C3k2.pt,581a1fb1cbe9d80cddaa6f6ad98ac11eabe6857dccd9c6ffd5badde62e5a1b5b,cc3cc3b18c4c618585d7cf087e4374b88001075677e665086762bd9566c3547e,2044986,2043816,463104,463104,18.46440917191967,18.473026662199032,18.46871791705935,4.284930229187012,4.2796430587768555,0.43117343959136384,0.6018502433067291,0.4955101935961154,0.735007560810708,0.5759155896478051,1.2039029191840778,830.6317594758644,0.12294146141339098,0.23031038084316074,0.11526902158346776,0.5869711288097568,0.16777327228232827,1.0259988810867071,974.6599323196435,0.21024730649792106,0.06697208101087741,0.32778376405782006,0.3526451044826558,0.3402144342702379,False,0.3402144342702379,54.28552129681054
