layer_id,layer_type,gen_layer_params,snow_layer_params,gen_layer_params_percent,snow_layer_params_percent,candidate_for_size_reduction
0,Conv,464,464,0.01850013356777468,0.018508767730920812,True
1,Conv,4672,4672,0.18627720695828298,0.18636414404927162,True
2,C3k2,6640,6640,0.26474329071125835,0.2648668485631771,True
3,Conv,36992,36992,1.4749072002998298,1.475595551513411,True
4,C3k2,26080,26080,1.0398350936369907,1.040320393151756,True
5,Conv,147712,147712,5.88942183095503,5.892170472133135,True
6,C3k2,87040,87040,3.470369883058423,3.4719895329727315,True
7,Conv,295424,295424,11.77884366191006,11.78434094426627,True
8,C3k2,346112,346112,13.799823770279376,13.806264260526863,True
9,SPPF,164608,164608,6.563081867078136,6.566144910886666,True
10,C2PSA,249728,249728,9.956899473304388,9.961546439455587,True
11,Upsample,0,0,0.0,0.0,False
12,Concat,0,0,0.0,0.0,False
13,C3k2,119808,119808,4.776862074327477,4.77909147479776,True
14,Upsample,0,0,0.0,0.0,False
15,Concat,0,0,0.0,0.0,False
16,C3k2,34304,34304,1.3677340127347903,1.3683723453480765,True
17,Conv,36992,36992,1.4749072002998298,1.475595551513411,True
18,Concat,0,0,0.0,0.0,False
19,C3k2,95232,95232,3.796992930875686,3.7987650184289885,True
20,Conv,147712,147712,5.88942183095503,5.892170472133135,True
21,Concat,0,0,0.0,0.0,False
22,C3k2,463104,463104,18.46440917191967,18.473026662199032,True
