stage,groups_added,group_count,epochs,cumulative_epochs,parameters,parameter_reduction_percent,map50,map50_95
1,DG026+DG025+DG040+DG039+DG004+CDG009+DG038,7,6,6,2161356,13.75757140463023,0.4785455713514815,0.28006853174130814
2,DG041+CDG005+DG036+DG042+DG034,5,6,12,1844628,26.395652278005223,0.46966023752304764,0.27505140049346977
3,DG023+DG037+DG003+CDG004+DG024,5,8,20,1535700,38.72249754602696,0.468920545296545,0.27480903662986006
4,DG031+DG033+DG035+DG019+DG018+DG007+DG016,7,10,30,1367676,45.42699130934425,0.46290486877113857,0.26882102463666935
5,DG009+DG028+DG030+CDG006+DG005+DG008+DG010+DG015+DG006+CDG003+DG017+DG032+CDG008+DG021,14,40,70,1100004,56.107639637051406,0.4328819124300231,0.24920015642053808
