experiment,domain,checkpoint,accepted_group_count,parameters_before,parameters_after,parameter_reduction_percent,stage_schedule,total_fine_tuning_epochs,map50,map75,map50_95,precision,recall,baseline_map50_95,map50_95_retention_vs_baseline_percent,model,model_sha256
T7_SNOW_6_6_8_10_40,SNOW,best,46,2506920,1082022,56.83859078071897,6-6-8-10-40,70,0.2954208526327921,0.13965521127948105,0.1474253729144936,0.39945562851426675,0.2725004786625296,0.19198061496745905,76.7918015782387,experiments/recovery/recovery_56pct/T7_snow_50ep/models/final/SNOW_T7_70epoch_best.pth,EA94930EB6BF2660C1DE36A448A0C21EEDCFC2BE8F498AE9F8D19E01570A54D3
T7_SNOW_6_6_8_10_40,SNOW,last,46,2506920,1082022,56.83859078071897,6-6-8-10-40,70,0.28890847127167807,0.13939209517389536,0.1408478499082047,0.41993555567448154,0.2737529766430483,0.19198061496745905,73.36566243007326,experiments/recovery/recovery_56pct/T7_snow_50ep/models/final/SNOW_T7_70epoch_last.pth,0CE9FD4033E4113ED8C96FE9358ADD0DA5F58E432C34C3E87F63D79D28EEFB0A
