dataset,split,map50_95,map50,latency_ms,fps
GEN,val,0.5066323602902936,0.6900551495872946,1.2643468216287368,790.9222239446893
SNOW,val,0.020819103649177228,0.0382767714180516,1.5925947576761246,627.9061231239864
