domain,groups_pruned_in_order,number_of_groups,baseline_parameters,final_parameters,parameters_removed,parameter_reduction_percent,baseline_gflops,final_gflops,gflops_removed,gflops_reduction_percent,final_model_size_mib,baseline_map50_95,final_map50_95,accuracy_drop,normalized_accuracy_drop,map50,map75,map95,precision,recall,mean_class_f1,fine_tuned,batchnorm_updated,model_file,status
GEN,DG038+DG025+DG036+DG042+DG040+DG026+DG004+DG006,8,2508090,2373746,134344,5.356426603511038,5.793279999999999,5.6731392000000005,0.12014079999999883,2.0737958462218096,9.534257888793945,0.6471450411564876,0.5317302000158504,0.11541484114063727,0.17834462724829647,0.7011792136394738,0.6018459981510828,0.07312669989620689,0.7048310680534323,0.6516766432493338,0.6640672682487865,False,False,Pruning_Study/results/pruning/cumulative_gen_protected_v3_top8_direct_v2/models/GEN_gen_protected_v3_top8_direct.pth,PASS
SNOW,DG038+DG025+DG036+DG042+DG040+DG026+DG004+DG006,8,2506920,2372576,134344,5.358926491471607,5.7868288,5.666688,0.1201408000000006,2.0761077293318335,9.530118942260742,0.19198061496745905,0.18029715936998636,0.011683455597472692,0.06085747563342815,0.30998851747266015,0.16984113121723426,0.007003025734599398,0.45781203325465336,0.2639556126215533,0.2790642218834817,False,False,Pruning_Study/results/pruning/cumulative_gen_protected_v3_top8_direct_v2/models/SNOW_gen_protected_v3_top8_direct.pth,PASS
