stage,groups_added,group_count,epochs,cumulative_epochs,parameters,parameter_reduction_percent,map50,map50_95
1,DG026+DG025+DG040+DG039+CDG009+DG034+DG004,7,6,6,2205636,11.990710814240224,0.4804215919777545,0.28242284743330076
2,DG038+DG041+CDG005+DG042+DG036,5,6,12,1844628,26.395652278005223,0.47158861360895427,0.2756887211203881
3,DG023+DG003+DG037+DG033+DG024+DG035,6,8,20,1573572,37.211328976034864,0.466831484503051,0.2724199764998818
4,DG031+CDG004+DG007+DG019+DG018+DG009+DG005+DG010,8,10,30,1380420,44.918480212597856,0.4513526500740162,0.26605838580595814
5,DG028+CDG006+DG030+DG016+DG008+DG015+DG006+DG029+DG021+CDG003+DG017+DG032+DG014+CDG008,14,40,70,1094796,56.315449256625726,0.4312571631082079,0.2498701971776993
