method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
FP32 baseline,/home/afm176/yolo_project/runs/baseline/baseline_yolo26n_mio_11000_e100_img640_b16_s42_20260701_001856/weights/best.pt,val,5.137639,2376981,3,0.000126,0.506632,0.690055,0.000000,0.000000,0.256895,1.023991,0.093812,1.374697,727.432899,,,original trained model
L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_amt_0p20/yolo26n_l1_combo_20_amt_0p20.pt,val,4.726361,2376981,29494,1.240818,0.506573,0.689777,0.000059,0.000278,0.254576,0.988102,0.056984,1.299662,769.430627,20,0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
