stage,groups_added,group_count,epochs,cumulative_epochs,parameters,parameter_reduction_percent,map50,map50_95
1,DG012+DG011+DG018+DG017+DG007+DG026+DG033+DG006+DG032+DG004+DG010+DG021+DG039+DG028+DG038+DG016,16,6,6,2143164,14.483468601115657,0.4351332159146937,0.2510383517697196
2,DG013+DG014+DG022+DG005+CDG001+DG031+DG003+DG019+CDG002+DG024,10,6,12,1840830,26.547200076611844,0.4117768581646672,0.23488354845922393
3,DG042+DG009+DG008+DG002+DG034+DG035+CDG003+DG029+DG037+CDG008+DG015+DG041+DG040+CDG007+CDG004,15,8,20,1522146,39.26332926332926,0.38718236092504915,0.22015141968841365
4,CDG005+CDG009,2,10,30,1292514,48.42610548492902,0.4026145165274248,0.22958547359999962
5,DG023+DG027+DG025+CDG006+DG036,5,40,70,1101906,56.03174603174603,0.41118663266157446,0.23950976725383183
