method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
FP32 baseline,/home/afm176/yolo_project/runs/baseline/baseline_yolo26n_mio_11000_e100_img640_b16_s42_20260701_001856/weights/best.pt,val,5.137639,2376981,3,0.000126,0.506632,0.690055,0.000000,0.000000,0.244014,1.006620,0.039744,1.290379,774.966404,,,original trained model
L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_single_sweep/layer_4_amt_0p05/yolo26n_l2_layer_4_amt_0p05.pt,val,4.726157,2376981,1347,0.056669,0.466020,0.641876,0.040612,0.048179,0.288408,1.086446,0.092994,1.467848,681.269484,4,0.05,mask-based structured pruning; architecture shape unchanged
