candidate_id,replaced_layers,layer_types,combination_size,gen_params_reduction_percent,snow_params_reduction_percent,mean_params_reduction_percent,target_distance_percentage_points,gen_saved_size_reduction_percent,snow_saved_size_reduction_percent,gen_baseline_map50_95,gen_replaced_map50_95,ad_gen_map50_95_signed,snow_baseline_map50_95,snow_replaced_map50_95,ad_snow_map50_95_signed,gen_accuracy_improved,snow_accuracy_improved,gen_replaced_map50,snow_replaced_map50,gen_latency_ms,snow_latency_ms,gen_fps,snow_fps,gen_model_path,snow_model_path,status
C007,"9,19","SPPF,C3k2",2,10.360074797953821,10.364909929315655,10.362492363634738,0.11249236363473791,9.053973005141613,8.964570294662638,0.6414207460892849,0.059044490471699934,0.582376255617585,0.1899135424242684,0.07606407328800945,0.11384946913625894,False,False,0.10867952346933006,0.1543771524076242,1.2048409633677113,1.0146315768361092,829.9850606048867,985.5794190027731,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/GEN_C007_layers_9-19.pt,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/SNOW_C007_layers_9-19.pt,ok
C017,10,C2PSA,1,9.956899473304388,9.961546439455587,9.959222956379987,0.2907770436200128,8.554852222740077,8.463944885057492,0.6414207460892849,0.021850742167483093,0.6195700039218018,0.1899135424242684,0.04583780444721199,0.1440757379770564,False,False,0.03800823246266724,0.13756128267531867,1.2180903050201861,1.0208719689399004,820.9571949457624,979.5547634033145,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/GEN_C017_layers_10.pt,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/SNOW_C017_layers_10.pt,ok
C026,"13,20","C3k2,Conv",2,10.666283905282507,10.671261946930894,10.668772926106701,0.41877292610670125,9.246119651581013,9.15463080364669,0.6414207460892849,0.004472580960310666,0.6369481651289742,0.1899135424242684,0.016135669142444388,0.173777873281824,False,False,0.014456258760053152,0.04240047155225727,1.1981799100441013,1.0224187839776278,834.5992046913832,978.0727972441885,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/GEN_C026_layers_13-20.pt,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/SNOW_C026_layers_13-20.pt,ok
C025,"5,13","Conv,C3k2",2,10.666283905282507,10.671261946930894,10.668772926106701,0.41877292610670125,9.258337712400218,9.168065666333835,0.6414207460892849,0.001452709083152559,0.6399680370061324,0.1899135424242684,0.00015320768128973287,0.18976033474297865,False,False,0.002677006768378677,0.0002899158271474019,1.1949899461628362,1.1437927559018135,836.827124120201,874.2842572136756,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/GEN_C025_layers_5-13.pt,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/SNOW_C025_layers_5-13.pt,ok
C014,"13,17,19","C3k2,Conv,C3k2",3,10.048762205502992,10.053452044740158,10.051107125121575,0.19889287487842466,9.117551485757046,9.029176725756493,0.6414207460892849,0.0003070715746185359,0.6411136745146664,0.1899135424242684,0.007887404950199382,0.182026137474069,False,False,0.0006420916151161237,0.03317517620604127,1.1723267031325535,1.1348090786486864,853.0045398845882,881.2054986295889,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/GEN_C014_layers_13-17-19.pt,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/SNOW_C014_layers_13-17-19.pt,ok
C015,"6,9","C3k2,SPPF",2,10.033451750136559,10.038134443859398,10.035793096997978,0.2142069030020224,8.76185365437,8.671831707690139,0.6414207460892849,4.008430882773785e-05,0.6413806617804572,0.1899135424242684,0.0,0.1899135424242684,False,False,6.887052341597796e-05,0.0,1.1858765546401795,1.0048181470483541,843.2580913140841,995.2049561778841,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/GEN_C015_layers_6-9.pt,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/SNOW_C015_layers_6-9.pt,ok
C006,"1,10","Conv,C2PSA",2,10.14317668026267,10.147910583504858,10.145543631883765,0.10445636811623515,8.74725882792031,8.656871001872322,0.6414207460892849,4.949594607990292e-06,0.641415796494677,0.1899135424242684,0.000375,0.1895385424242684,False,False,2.2336953218494647e-05,0.000625,1.1866285524923694,1.0077979136258364,842.7236963914455,992.2624233287196,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/GEN_C006_layers_1-10.pt,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/SNOW_C006_layers_1-10.pt,ok
C021,"13,16,19","C3k2,C3k2,C3k2",3,9.941589017937954,9.946228838574825,9.94390892825639,0.3060910717436105,9.426828113423712,9.340002136180383,0.6414207460892849,8.114969498264567e-07,0.641419934592335,0.1899135424242684,3.272589485793197e-08,0.18991350969837353,False,False,3.6735400311711952e-06,1.4033118158854897e-07,1.1170839737592773,1.1282722000032663,895.1878493384348,886.3109451753796,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/GEN_C021_layers_13-16-19.pt,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/SNOW_C021_layers_13-16-19.pt,ok
C010,"4,6,20","C3k2,C3k2,Conv",3,10.399626807650444,10.404480398257624,10.402053602954034,0.1520536029540338,9.196913175637409,9.10814841169034,0.6414207460892849,4.0584415584415586e-07,0.6414203402451291,0.1899135424242684,0.0,0.1899135424242684,False,False,2.0292207792207792e-06,0.0,1.190729420039464,0.9698774479329586,839.8213592193407,1031.0581013418137,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/GEN_C010_layers_4-6-20.pt,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/SNOW_C010_layers_4-6-20.pt,ok
C030,"4,19,20","C3k2,C3k2,Conv",3,10.726249855467707,10.73125588371388,10.728752869590792,0.47875286959079233,9.489366759075809,9.401221939837866,0.6414207460892849,3.6656891495601174e-07,0.6414203795203699,0.1899135424242684,0.0,0.1899135424242684,False,False,3.6656891495601173e-06,0.0,1.150301971388134,0.9740608092397451,869.3369435794706,1026.6299501162564,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/GEN_C030_layers_4-19-20.pt,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/SNOW_C030_layers_4-19-20.pt,ok
C024,"2,9,19","C3k2,SPPF,C3k2",3,10.62481808866508,10.629776777878831,10.627297433271956,0.37729743327195564,9.478819861590539,9.389573430084193,0.6414207460892849,1.8275368226800674e-07,0.6414205633356026,0.1899135424242684,0.0,0.1899135424242684,False,False,6.837855694999766e-07,0.0,1.0342763450674037,0.9135188162326813,966.8595871588169,1094.668201935855,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/GEN_C024_layers_2-9-19.pt,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/SNOW_C024_layers_2-9-19.pt,ok
C004,"2,6,9","C3k2,C3k2,SPPF",3,10.298195040847817,10.303001292422573,10.300598166635195,0.05059816663519534,9.187443250078452,9.096388254878326,0.6414207460892849,1.5153626461195604e-07,0.6414205945530203,0.1899135424242684,0.0,0.1899135424242684,False,False,7.686760678108054e-07,0.0,1.0892234387892212,0.9012011252343655,918.0852746903777,1109.630216828614,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/GEN_C004_layers_2-6-9.pt,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/SNOW_C004_layers_2-6-9.pt,ok
C019,"2,19,20","C3k2,C3k2,Conv",3,9.951158052541974,9.9558023391253,9.953480195833638,0.2965198041663619,8.75732294488689,8.667626335159259,0.6414207460892849,9.503400793225995e-08,0.641420651055277,0.1899135424242684,2.860411899313501e-08,0.1899135138201494,False,False,6.115326798934611e-07,2.860411899313501e-07,1.05549039861018,0.9206813108175993,947.4269034723128,1086.1521660648925,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/GEN_C019_layers_2-19-20.pt,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/SNOW_C019_layers_2-19-20.pt,ok
C011,"1,2,10","Conv,C3k2,C2PSA",3,10.407919970973929,10.412777432068037,10.410348701520983,0.16034870152098257,9.171437219035665,9.082395156899471,0.6414207460892849,6.101196772005535e-08,0.6414206850773172,0.1899135424242684,0.000125,0.1897885424242684,False,False,2.9288287536744905e-07,0.000625,1.040505711497231,1.0518534108996391,961.0711300767917,950.7028162267502,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/GEN_C011_layers_1-2-10.pt,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/SNOW_C011_layers_1-2-10.pt,ok
C018,"2,5,19","C3k2,Conv,C3k2",3,9.951158052541974,9.9558023391253,9.953480195833638,0.2965198041663619,8.769095362150377,8.679423707657389,0.6414207460892849,4.511522500805388e-08,0.6414207009740599,0.1899135424242684,2.0923317580996197e-07,0.18991333319109258,False,False,2.1092686879332234e-07,1.728818768568794e-06,1.0357912551950326,1.0342228319495916,965.4454939491709,966.909614744166,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/GEN_C018_layers_2-5-19.pt,/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/SNOW_C018_layers_2-5-19.pt,ok
