domain,classes,parameters,checkpoint_mib,map50_95,map50,map75,precision,recall,latency_ms,fps
GEN,11,2508090,5.135984420776367,0.6414207460892849,0.8300363458988546,0.7199083476344472,0.7988991271081674,0.7786299650855113,1.242506352930584,804.8248587553643
SNOW,8,2506920,5.125120162963867,0.1899135424242684,0.324111751802454,0.18330102208122953,0.5726809138572879,0.2530735194640704,1.4833836536854506,674.1344341468985
