method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
FP32 baseline,/home/afm176/yolo_project/runs/baseline/baseline_yolo26n_mio_11000_e100_img640_b16_s42_20260701_001856/weights/best.pt,val,5.137639,2376981,3,0.000126,0.506632,0.690055,0.000000,0.000000,0.254868,1.016555,0.075740,1.347163,742.300675,,,original trained model
L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_6_13_amt_0p20/yolo26n_l2_combo_20_6_13_amt_0p20.pt,val,4.727382,2376981,70275,2.956481,0.028273,0.052778,0.478360,0.637277,0.309297,0.984631,0.059876,1.353804,738.659176,"20,6,13",0.2,mask-based structured pruning; architecture shape unchanged
