experiment,domain,accepted_group_count,accepted_groups,parameters_before,parameters_after,parameter_reduction_percent,fine_tuning_epochs,map50,map75,map50_95,precision,recall,baseline_map50_95,map50_95_retention_vs_baseline_percent,model,model_sha256
T5_raw_replay,GEN,20,DG025+DG026+DG004+DG040+DG019+DG034+DG008+DG009+DG014+DG039+DG033+DG007+DG018+DG012+DG041+DG029+DG013+DG042+DG015+CDG005,2508090,2250986,10.250987803467982,0,0.31298834165862083,0.23194300692091174,0.19935441249106156,0.5132015487579665,0.25823017278810034,0.6471450411564876,30.805213640330624,Pruning_Study/Rafed's Custom experiments/Accuracy_recovery_experiments/T5_T7_10pct_25local/T5_replay10/models/final/GEN_T5_raw_gated_10pct.pth,0841A3CBC2E31AC2981987FC4985AB867EDF06646BBBFF6B7B7808420FF34122
T5_raw_replay,SNOW,20,DG025+DG026+DG004+DG040+DG019+DG034+DG008+DG009+DG014+DG039+DG033+DG007+DG018+DG012+DG041+DG029+DG013+DG042+DG015+CDG005,2506920,2249816,10.255772023040223,0,0.15733849912620967,0.08503504829342873,0.08600414570332113,0.6897089925095431,0.10733756569088737,0.19198061496745905,44.798348894704255,Pruning_Study/Rafed's Custom experiments/Accuracy_recovery_experiments/T5_T7_10pct_25local/T5_replay10/models/final/SNOW_T5_raw_gated_10pct.pth,49C4090611DB9FD6BD97952E8C4AF82C19DA49823F7A1EE05C6F1178B1A499C6
