rank_by_P_GP_descending,ratio_percent,group_id,group_kind,representative_root,isolated_accuracy_feasible,budget_violation,parameters_removed,gflops_removed,mean_baseline_parameters,mean_baseline_gflops,parameter_reduction_fraction,gflop_reduction_fraction,combined_resource_benefit_B,diminishing_resource_B_power_q,gen_protected_sensitivity_S_GP,normalized_sensitivity_S_GP_over_tau,accuracy_penalty_1_plus_S_over_tau_squared,feasible_tradeoff_utility_U,gen_protected_prunability_P_GP,GEN_record_path,SNOW_record_path
38,25.0,DG002,GENERIC,model.1.conv,False,GEN_AND_SNOW,1424,0.07372799999999913,2507505.0,5.7900544,0.0005678951786736218,0.012733559118200882,0.006650727148437252,0.08155199046275481,0.22597500252455638,4.519500050491128,21.425880706389304,0.0038062374928856764,-4.519500050491128,Pruning_Study/results/pruning/prune_25/runs/GEN_DG002.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG002.json
39,25.0,DG011,GENERIC,model.16.m.0.cv1.conv,False,GEN_AND_SNOW,2584,0.033382399999998924,2507505.0,5.7900544,0.0010305064197279766,0.005765472600740837,0.003397989510234407,0.0582922765916241,0.23998430399403956,4.799686079880791,24.036986465401437,0.0024251075181795077,-4.799686079880791,Pruning_Study/results/pruning/prune_25/runs/GEN_DG011.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG011.json
40,25.0,DG017,GENERIC,model.19.m.0.cv1.conv,False,GEN_AND_SNOW,10288,0.03307519999999897,2507505.0,5.7900544,0.004102883144799312,0.0057124161044150076,0.0049076496246071594,0.07005461886704659,0.2527232577847801,5.054465155695602,26.547618010140962,0.0026388287958748814,-5.054465155695602,Pruning_Study/results/pruning/prune_25/runs/GEN_DG017.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG017.json
41,25.0,DG031,GENERIC,model.6.cv2.conv,False,GEN_AND_SNOW,84032,0.0921599999999998,2507505.0,5.7900544,0.03351219638644788,0.015916948897751255,0.02471457264209957,0.15720869136946458,0.26613392697882676,5.322678539576535,29.3309068356686,0.005359830579063002,-5.322678539576535,Pruning_Study/results/pruning/prune_25/runs/GEN_DG031.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG031.json
42,25.0,DG024,GENERIC,model.22.cv2.conv,False,GEN_AND_SNOW,52736,0.04249599999999987,2507505.0,5.7900544,0.0210312641450366,0.007339481991740849,0.014185373068388726,0.11910236382368204,0.33147391231355666,6.629478246271133,44.94998181778218,0.002649664338163653,-6.629478246271133,Pruning_Study/results/pruning/prune_25/runs/GEN_DG024.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG024.json
43,25.0,DG037,GENERIC,model.8.cv2.conv,False,GEN_AND_SNOW,82176,0.06594560000000005,2507505.0,5.7900544,0.03277201840076092,0.01138946121127982,0.02208073980602037,0.14859589431077957,0.3512809085667089,7.025618171334178,50.359310689381,0.002950713428691017,-7.025618171334178,Pruning_Study/results/pruning/prune_25/runs/GEN_DG037.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG037.json
44,25.0,CDG008,CUSTOM,model.19,False,GEN_AND_SNOW,14432,0.04648959999999924,2507505.0,5.7900544,0.0057555219231865936,0.00802921644397663,0.006892369183581612,0.0830202938056811,0.4010943566900811,8.021887133801622,65.350673187452,0.0012703816159252946,-8.021887133801622,Pruning_Study/results/pruning/prune_25/runs/GEN_CDG008.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_CDG008.json
45,25.0,DG028,GENERIC,model.4.cv2.conv,False,GEN_AND_SNOW,42048,0.18513919999999917,2507505.0,5.7900544,0.01676885988263234,0.03197538178570467,0.024372120834168506,0.15611572897747525,0.42541231103458427,8.508246220691685,73.39025375191434,0.0021271997437861843,-8.508246220691685,Pruning_Study/results/pruning/prune_25/runs/GEN_DG028.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG028.json
46,25.0,CDG007,CUSTOM,model.16,False,GEN_AND_SNOW,6192,0.07987199999999994,2507505.0,5.7900544,0.002469386900524625,0.013794689044717773,0.008132037972621199,0.09017781308404633,0.48236069298513806,9.647213859702761,94.06873525484104,0.000958637456321127,-9.647213859702761,Pruning_Study/results/pruning/prune_25/runs/GEN_CDG007.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_CDG007.json
47,25.0,CDG001,CUSTOM,model.2,False,GEN_AND_SNOW,1624,0.08437759999999983,2507505.0,5.7900544,0.0006476557374760968,0.01457285099083004,0.007610253364153068,0.08723676612617565,0.5023659455229732,10.047318910459463,101.94861728847633,0.000855693470361921,-10.047318910459463,Pruning_Study/results/pruning/prune_25/runs/GEN_CDG001.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_CDG001.json
48,25.0,DG030,GENERIC,model.5.conv,False,GEN_AND_SNOW,41024,0.13148159999999898,2507505.0,5.7900544,0.016360485821563665,0.02270818042745833,0.019534333124511,0.1397652786800463,0.5284058476168376,10.568116952336752,112.68509591826744,0.0012403173422456915,-10.568116952336752,Pruning_Study/results/pruning/prune_25/runs/GEN_DG030.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG030.json
49,25.0,CDG002,CUSTOM,model.4,False,GEN_AND_SNOW,6448,0.08314879999999913,2507505.0,5.7900544,0.002571480415791793,0.014360625005526569,0.00846605271065918,0.0920111553598757,0.8461817315769962,16.923634631539922,287.4094091418574,0.00032013967682756523,-16.923634631539922,Pruning_Study/results/pruning/prune_25/runs/GEN_CDG002.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_CDG002.json
50,25.0,DG016,GENERIC,model.19.cv2.conv,False,GEN_AND_SNOW,57088,0.09482239999999997,2507505.0,5.7900544,0.022766853904578454,0.016376771865908545,0.019571812885243497,0.1398992955137498,0.8680383104768818,17.360766209537637,302.3962033822238,0.00046263575385210577,-17.360766209537637,Pruning_Study/results/pruning/prune_25/runs/GEN_DG016.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG016.json
51,25.0,DG027,GENERIC,model.3.conv,False,GEN_AND_SNOW,10272,0.1318911999999992,2507505.0,5.7900544,0.004096502300095115,0.022778922422559487,0.0134377123613273,0.11592114717051114,0.9988272937510255,19.97654587502051,400.0623850967989,0.00028975767652453233,-19.97654587502051,Pruning_Study/results/pruning/prune_25/runs/GEN_DG027.json,Pruning_Study/results/pruning/prune_25/runs/SNOW_DG027.json
