experiment,domain,accepted_group_count,accepted_groups,parameters_before,parameters_after,parameter_reduction_percent,fine_tuning_stages,epochs_per_stage,total_fine_tuning_epochs,map50,map75,map50_95,precision,recall,baseline_map50_95,map50_95_retention_vs_baseline_percent,model,model_sha256
T7_staged_adaptive_with_documented_target_override,GEN,20,DG025+DG026+DG004+DG040+DG019+DG034+DG008+DG009+DG014+DG039+DG033+DG007+DG018+DG012+DG041+DG029+DG013+DG042+DG015+CDG005,2508090,2250986,10.250987803467982,5,4,20,0.8112067525329909,0.6963941778356401,0.623437077464788,0.7803410838323382,0.7696180527989953,0.6471450411564876,96.33653011551598,Pruning_Study/Rafed's Custom experiments/Accuracy_recovery_experiments/T5_T7_10pct_25local/T7/models/final/GEN_T7_staged_final.pth,C853892DEE0632A0FBE967BC6D585F1F3284CE9C234DECA3095829895BEF3873
T7_staged_adaptive_with_documented_target_override,SNOW,20,DG025+DG026+DG004+DG040+DG019+DG034+DG008+DG009+DG014+DG039+DG033+DG007+DG018+DG012+DG041+DG029+DG013+DG042+DG015+CDG005,2506920,2249816,10.255772023040223,5,4,20,0.29321617721854226,0.17997834463937834,0.16705644076571408,0.370723918995635,0.2767944066624449,0.19198061496745905,87.01734849324778,Pruning_Study/Rafed's Custom experiments/Accuracy_recovery_experiments/T5_T7_10pct_25local/T7/models/final/SNOW_T7_staged_final.pth,72ADEA2B563FB8C34AE45F8885A5CB029C1288CCCD05AB44CDA6EED2FA1AE378
