method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
FP32 baseline,/home/afm176/yolo_project/runs/baseline/baseline_yolo26n_mio_11000_e100_img640_b16_s42_20260701_001856/weights/best.pt,val,5.137639,2376981,3,0.000126,0.506632,0.690055,0.000000,0.000000,0.251317,1.005938,0.072895,1.330150,751.794809,,,original trained model
L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p20/combo_7_10_17_amt_0p20/yolo26n_l2_combo_7_10_17_amt_0p20.pt,val,4.727382,2376981,115629,4.864532,0.265377,0.411787,0.241256,0.278268,0.266446,0.997104,0.066262,1.329812,751.986144,"7,10,17",0.2,mask-based structured pruning; architecture shape unchanged
