stage,groups_added,group_count,epochs,cumulative_epochs,parameters,parameter_reduction_percent,map50,map50_95
1,DG026+DG040+DG041+DG004+DG009+DG034+DG019+DG039+DG014+DG033+DG007+DG018+DG008+DG035+DG012+DG013+DG025+DG038+DG022+DG042,20,6,6,2195136,12.477781897778783,0.8145792645042484,0.6270129609216268
2,DG015+DG036+DG005+DG003+DG006+DG010,6,6,12,1930920,23.012332093345933,0.8065765609713407,0.6180265178165695
3,DG023+CDG004+DG032+CDG005+CDG009,5,8,20,1565472,37.5831010848893,0.8027859845374707,0.615379294935375
4,CDG006+DG024+DG029+DG011+DG021+CDG003+DG031,7,10,30,1361232,45.726349532911506,0.7932811974147014,0.6063919639565196
5,DG017+DG002+DG037+CDG007+CDG008+DG030+DG028+DG016,8,40,70,1083192,56.81207612167027,0.7970672388503464,0.6120885063402577
