layer_id,layer_type,conv_name,total_weights,pruned_weights,amount,new_zero_weights
19,C3k2,cv1.conv,24576,2458,0.1,2458
19,C3k2,cv2.conv,24576,2458,0.1,2458
19,C3k2,m.0.cv1.conv,2048,205,0.1,205
19,C3k2,m.0.cv2.conv,2048,205,0.1,205
19,C3k2,m.0.cv3.conv,4096,410,0.1,410
19,C3k2,m.0.m.0.cv1.conv,9216,922,0.1,922
19,C3k2,m.0.m.0.cv2.conv,9216,922,0.1,922
19,C3k2,m.0.m.1.cv1.conv,9216,922,0.1,922
19,C3k2,m.0.m.1.cv2.conv,9216,922,0.1,922
