layer_id,layer_type,conv_name,total_weights,pruned_weights,amount,new_zero_weights
20,Conv,conv,147456,14746,0.1,14746
8,C3k2,cv1.conv,65536,6554,0.1,6554
8,C3k2,cv2.conv,98304,9830,0.1,9830
8,C3k2,m.0.cv1.conv,8192,819,0.1,819
8,C3k2,m.0.cv2.conv,8192,819,0.1,819
8,C3k2,m.0.cv3.conv,16384,1638,0.1,1638
8,C3k2,m.0.m.0.cv1.conv,36864,3686,0.1,3686
8,C3k2,m.0.m.0.cv2.conv,36864,3686,0.1,3686
8,C3k2,m.0.m.1.cv1.conv,36864,3686,0.1,3686
8,C3k2,m.0.m.1.cv2.conv,36864,3686,0.1,3686
17,Conv,conv,36864,3686,0.1,3686
