candidate,domain,layers,model_path,sha256,model_mib,parameters,parameter_reduction_percent
BASELINE,GEN,,/home/afm176/yolo_project/5_reproduction/reproducing_files_for_hoyin/models/GEN_baseline_best.pt,d0250e9ffd459c2c46a01ac81421d95e9e1d0bb35799b5dede30c92e7b94d250,5.135984420776367,2508090,0.0
C007,GEN,"9,19",/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/GEN_C007_layers_9-19.pt,5e95b4042bb4c83a36149b86d5a73af0ad9ade8cfe9b393466daec8bb01ab2e3,4.670973777770996,2248250,10.360074797953821
L9,GEN,9,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/GEN_replace_L9_SPPF.pt,fe5f0eb09efad7cabfa5d5c4f8f8731f2cfadaf38f80a6dc302717036abe0200,4.876921653747559,2343482,6.563081867078136
BASELINE,SNOW,,/home/afm176/yolo_project/5_reproduction/reproducing_files_for_hoyin/models/SNOW_baseline_best.pt,5c9bceba2872e98ee1beb967e10e4ca10e17bea6a8f8200e306bcdae067bdb68,5.125120162963867,2506920,0.0
C007,SNOW,"9,19",/home/afm176/yolo_project/5_reproduction/stage3_results/near_target_20260729_172754/saved_near_target_models/SNOW_C007_layers_9-19.pt,84064337124810bbf7a58144615fd73ddbe38b1a0860fdef5fb638bd18e6503c,4.665675163269043,2247080,10.364909929315655
L9,SNOW,9,/home/afm176/yolo_project/5_reproduction/stage2_results/layer_replacement_sweep_20260729_151557/saved_replaced_models/SNOW_replace_L9_SPPF.pt,f403907c633ebdf21116a67a3f8a8299a64093054f1a6186afbee51c81234fba,4.871674537658691,2342312,6.566144910886666
