pruning_method,combo_layers,combo_size,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
l1_unstructured,"10,6,22",3,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_10_6_22_amt_0p20/yolo26n_l1_combo_10_6_22_amt_0p20.pt,val,4.727443,2376981,158569,6.671025,0.504186,0.685341,0.002447,0.004714,0.275001,0.974121,0.044107,1.293230,773.257952,"10,6,22",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,13,22,16",4,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_13_22_16_amt_0p20/yolo26n_l1_combo_20_13_22_16_amt_0p20.pt,val,4.728259,2376981,151989,6.394203,0.504312,0.687957,0.002320,0.002098,0.241156,0.982812,0.101552,1.325520,754.420643,"20,13,22,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"10,22,16",3,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_10_22_16_amt_0p20/yolo26n_l1_combo_10_22_16_amt_0p20.pt,val,4.727647,2376981,148125,6.231644,0.505418,0.687499,0.001215,0.002556,0.253431,0.973793,0.050269,1.277492,782.783776,"10,22,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,6,22,16",4,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_6_22_16_amt_0p20/yolo26n_l1_combo_20_6_22_16_amt_0p20.pt,val,4.728055,2376981,145436,6.118518,0.504219,0.687422,0.002413,0.002633,0.278829,0.993676,0.086911,1.359416,735.610215,"20,6,22,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,13,22",3,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_13_22_amt_0p20/yolo26n_l1_combo_20_13_22_amt_0p20.pt,val,4.727586,2376981,145230,6.109851,0.505408,0.688564,0.001224,0.001491,0.252821,0.982707,0.070035,1.305563,765.953342,"20,13,22",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"10,22",2,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_10_22_amt_0p20/yolo26n_l1_combo_10_22_amt_0p20.pt,val,4.726974,2376981,141366,5.947292,0.506813,0.688254,-0.000180,0.001801,0.256142,0.999985,0.091282,1.347409,742.164980,"10,22",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"6,13,22,16",4,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_6_13_22_16_amt_0p20/yolo26n_l1_combo_6_13_22_16_amt_0p20.pt,val,4.728055,2376981,139701,5.877245,0.501727,0.684495,0.004905,0.005560,0.245691,1.010048,0.078929,1.334667,749.250359,"6,13,22,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,6,22",3,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_6_22_amt_0p20/yolo26n_l1_combo_20_6_22_amt_0p20.pt,val,4.727382,2376981,138677,5.834165,0.504772,0.687030,0.001860,0.003025,0.241343,0.971948,0.042845,1.256135,796.092596,"20,6,22",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"6,13,22",3,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_6_13_22_amt_0p20/yolo26n_l1_combo_6_13_22_amt_0p20.pt,val,4.727443,2376981,132942,5.592893,0.502152,0.685951,0.004481,0.004104,0.260479,0.987556,0.061300,1.309335,763.746626,"6,13,22",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,22,16",3,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_22_16_amt_0p20/yolo26n_l1_combo_20_22_16_amt_0p20.pt,val,4.727586,2376981,128233,5.394784,0.507597,0.689926,-0.000964,0.000129,0.255136,1.001997,0.063441,1.320574,757.246280,"20,22,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,6,13,16",5,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_10_6_13_16_amt_0p20/yolo26n_l1_combo_20_10_6_13_16_amt_0p20.pt,val,4.729522,2376981,126595,5.325873,0.500004,0.682448,0.006628,0.007607,0.309970,0.973541,0.051096,1.334606,749.284544,"20,10,6,13,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"13,22,16",3,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_13_22_16_amt_0p20/yolo26n_l1_combo_13_22_16_amt_0p20.pt,val,4.727647,2376981,122498,5.153512,0.504034,0.687469,0.002598,0.002586,0.252822,0.983007,0.073646,1.309475,763.664595,"13,22,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,22",2,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_22_amt_0p20/yolo26n_l1_combo_20_22_amt_0p20.pt,val,4.726974,2376981,121474,5.110432,0.507102,0.690206,-0.000470,-0.000151,0.256150,0.980993,0.073761,1.310904,762.832386,"20,22",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,6,13",4,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_10_6_13_amt_0p20/yolo26n_l1_combo_20_10_6_13_amt_0p20.pt,val,4.728055,2376981,119836,5.041521,0.501660,0.683549,0.004973,0.006506,0.262847,0.995746,0.098787,1.357380,736.713105,"20,10,6,13",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"6,22,16",3,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_6_22_16_amt_0p20/yolo26n_l1_combo_6_22_16_amt_0p20.pt,val,4.727443,2376981,115945,4.877826,0.504052,0.686919,0.002580,0.003136,0.262255,0.983784,0.077828,1.323867,755.362917,"6,22,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"13,22",2,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_13_22_amt_0p20/yolo26n_l1_combo_13_22_amt_0p20.pt,val,4.726974,2376981,115739,4.869160,0.505481,0.688488,0.001151,0.001567,0.255480,0.985759,0.080308,1.321548,756.688403,"13,22",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,13,16",4,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_10_13_16_amt_0p20/yolo26n_l1_combo_20_10_13_16_amt_0p20.pt,val,4.728259,2376981,109392,4.602140,0.504028,0.686314,0.002604,0.003741,0.276168,0.972700,0.077017,1.325886,754.212797,"20,10,13,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
