pruning_method,combo_layers,combo_size,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
l2_structured,"20,10,6,13,16",5,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p10/combo_20_10_6_13_16_amt_0p10/yolo26n_l2_combo_20_10_6_13_16_amt_0p10.pt,val,4.729522,2376981,63640,2.677346,0.069633,0.119320,0.436999,0.570736,0.255950,0.983617,0.057312,1.296879,771.081948,"20,10,6,13,16",0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,10,6",3,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_10_6_amt_0p20/yolo26n_l2_combo_20_10_6_amt_0p20.pt,val,4.727382,2376981,96173,4.046015,0.067036,0.112217,0.439597,0.577838,0.269892,0.987209,0.069419,1.326520,753.852435,"20,10,6",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"10,6,22",3,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_10_6_22_amt_0p20/yolo26n_l2_combo_10_6_22_amt_0p20.pt,val,4.727443,2376981,158615,6.672960,0.065596,0.109902,0.441037,0.580153,0.281862,0.994260,0.067021,1.343143,744.522593,"10,6,22",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,10,6,22",4,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_10_6_22_amt_0p20/yolo26n_l2_combo_20_10_6_22_amt_0p20.pt,val,4.728055,2376981,188567,7.933046,0.065591,0.109884,0.441041,0.580171,0.304976,0.992092,0.058862,1.355930,737.501317,"20,10,6,22",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"13,16",2,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_13_16_amt_0p20/yolo26n_l2_combo_13_16_amt_0p20.pt,val,4.726974,2376981,30179,1.269636,0.062772,0.126439,0.443860,0.563616,0.245447,0.980450,0.053918,1.279816,781.362456,"13,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"10,6,13,22,16",5,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p10/combo_10_6_13_22_16_amt_0p10/yolo26n_l2_combo_10_6_13_22_16_amt_0p10.pt,val,4.729583,2376981,94797,3.988126,0.055031,0.094445,0.451601,0.595611,0.283550,0.984213,0.051446,1.319208,758.030412,"10,6,13,22,16",0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,10,6,13,22,16",6,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p10/combo_20_10_6_13_22_16_amt_0p10/yolo26n_l2_combo_20_10_6_13_22_16_amt_0p10.pt,val,4.730317,2376981,109773,4.618169,0.054770,0.094175,0.451862,0.595880,0.249031,0.992452,0.054779,1.296262,771.448966,"20,10,6,13,22,16",0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,13,16",3,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_13_16_amt_0p20/yolo26n_l2_combo_20_13_16_amt_0p20.pt,val,4.727586,2376981,60131,2.529722,0.052216,0.131584,0.454416,0.558471,0.266573,0.982500,0.054413,1.303486,767.173779,"20,13,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,6,1,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_6_amt_0p20/yolo26n_l2_combo_6_amt_0p20.pt,val,4.726157,2376981,16835,0.708251,0.049510,0.074334,0.457122,0.615721,0.258518,0.982388,0.056409,1.297315,770.822696,6,0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,6",2,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_6_amt_0p20/yolo26n_l2_combo_20_6_amt_0p20.pt,val,4.726769,2376981,46787,1.968337,0.045114,0.068772,0.461519,0.621283,0.245746,0.971000,0.038900,1.255645,796.403220,"20,6",0.2,mask-based structured pruning; architecture shape unchanged
