domain,status,baseline_checkpoint,baseline_checkpoint_sha256,data_yaml,plan_path,plan_sha256,replay_steps,baseline_parameters,raw_parameters,parameters_removed,parameter_reduction_percent,raw_checkpoint,raw_checkpoint_sha256,raw_checkpoint_size_bytes,source_architecture_sha256,reloaded_architecture_sha256,architecture_unchanged_after_reload,parameters_unchanged_after_reload,reload_forward_ok,baseline_map50_95,raw_map50_95,signed_accuracy_drop_map50_95,raw_accuracy_retention_percent,baseline_map50,raw_map50,signed_accuracy_drop_map50,raw_map75,raw_precision,raw_recall,training_performed,elapsed_seconds
GEN,ok,/home/afm176/yolo_project/5_reproduction/reproducing_files_for_hoyin/models/GEN_baseline_best.pt,d0250e9ffd459c2c46a01ac81421d95e9e1d0bb35799b5dede30c92e7b94d250,/project/ko/afm176/datasets/1_data/reproduction_exact_v1/GEN_MIO_TCD_exact/dataset_GEN_local.yaml,/home/afm176/yolo_project/5_reproduction/global_l1_stage5b_v2_results/latest/GEN/chosen_replay_plan.csv,2992a140af7bbb47d7cd8a41bb4dd2ad04864b6404048998aaf9e0f2b3a9fd8d,427,2508090,2250880,257210,10.255214127084754,/home/afm176/yolo_project/5_reproduction/global_l1_stage5c_results/raw_20260804_151704/GEN/GEN_global_L1_42root_raw.pt,73d3e2878d6e713c7651e797d190c2e57d352b46ec7ba5fa3ccdf3a459bb5bb0,9500125,ea1c6f43e342f34441d7c718e0173d09cf70cc05525a7d2d6290adca6b7e3244,ea1c6f43e342f34441d7c718e0173d09cf70cc05525a7d2d6290adca6b7e3244,True,True,True,0.6414207461,0.0,0.6414207461,0.0,0.8300363459,0.0,0.8300363459,0.0,0.0,0.0,False,261.64193081855774
SNOW,ok,/home/afm176/yolo_project/5_reproduction/reproducing_files_for_hoyin/models/SNOW_baseline_best.pt,5c9bceba2872e98ee1beb967e10e4ca10e17bea6a8f8200e306bcdae067bdb68,/project/ko/afm176/datasets/1_data/reproduction_exact_v1/SNOW_ACDC_exact/dataset_SNOW_local.yaml,/home/afm176/yolo_project/5_reproduction/global_l1_stage5b_v2_results/latest/SNOW/chosen_replay_plan.csv,22fcd8db791f8f83da2271519e2893098bc6b74bc3f2547d765f5a9fd2d2adee,590,2506920,2250272,256648,10.23758237199432,/home/afm176/yolo_project/5_reproduction/global_l1_stage5c_results/raw_20260804_151704/SNOW/SNOW_global_L1_42root_raw.pt,e0647dd2f03f30b269789a0b0ce1de1f0567381468e2630cef699b92768a10cf,9497131,731463372bf8ddb59400a2c960fa7a2f3ccb8655023bbdd2b7778128101d7c99,731463372bf8ddb59400a2c960fa7a2f3ccb8655023bbdd2b7778128101d7c99,True,True,True,0.1899135424,0.0,0.1899135424,0.0,0.3241117518,0.0,0.3241117518,0.0,0.0,0.0,False,41.431403398513794
