stage,groups_added,group_count,epochs,cumulative_epochs,parameters,parameter_reduction_percent,map50,map50_95
1,DG026+DG025+DG040+DG039+DG004+CDG009+DG038,7,6,6,2161356,13.75757140463023,0.4261536714804128,0.252597926495855
2,DG041+CDG005+DG036+DG042+DG034,5,6,12,1844628,26.395652278005223,0.42264854810375524,0.2507026305572149
3,DG023+DG037+DG003+CDG004+DG024,5,8,20,1535700,38.72249754602696,0.4164633717762834,0.24421898852464474
4,DG031+DG033+DG035+DG019+DG018+DG007+DG016,7,10,30,1367676,45.42699130934425,0.4135625428693747,0.2447108796414217
5,DG009+DG028+DG030+CDG006+DG005+DG008+DG010+DG015+DG006+CDG003+DG017+DG032+CDG008+DG021,14,40,70,1100004,56.107639637051406,0.38618460291875406,0.22855006232985592
