method,domain,checkpoint,fine_tuning_epochs,parameters,parameter_reduction_percent,map50,map75,map50_95,precision,recall,baseline_map50_95,map50_95_retention_percent,model,evaluation_record
Global_L1_unrestricted,GEN,best,20,1083245,56.80996295986189,0.30196781241350035,0.20264766289584646,0.18680307693238185,0.4482727486005182,0.3091518424630277,0.6471450411564877,28.865720209885765,experiments/competitors/global_l1_p56_reproduction/recovery/models/GEN_GlobalL1_p56_full20_best.pth,experiments/competitors/global_l1_p56_reproduction/recovery/records/GEN_full20_best_evaluation.json
Global_L1_unrestricted,GEN,last,20,1083245,56.80996295986189,0.30196781241350035,0.20264766289584646,0.18680307693238185,0.4482727486005182,0.3091518424630277,0.6471450411564877,28.865720209885765,experiments/competitors/global_l1_p56_reproduction/recovery/models/GEN_GlobalL1_p56_full20_last.pth,experiments/competitors/global_l1_p56_reproduction/recovery/records/GEN_full20_last_evaluation.json
