stage,groups_added,group_count,epochs,cumulative_epochs,parameters,parameter_reduction_percent,map50,map50_95
1,DG016+DG021+DG010+DG023+DG002+DG018+DG024+DG026+DG022+DG015+DG019,11,6,6,2204718,12.02734085087026,0.45204159853869347,0.26104634860148274
2,DG025+DG012+CDG008+DG033+DG005+DG014+DG003+DG004+DG041+CDG007+CDG006+DG037+CDG002,13,6,12,1836030,26.738729679906147,0.4205588199962537,0.2405683289195016
3,DG028+CDG001+DG013+DG009+CDG004+DG031+DG040,7,8,20,1553994,37.99253034547152,0.40579936049521553,0.23262916349200066
4,CDG003+DG034+DG042+DG007+DG008+DG017+DG036+DG039+DG027,9,10,30,1375626,45.10977040388805,0.4011089419231781,0.22882572719286118
5,DG029+DG038+DG011+DG030+CDG005+DG035+CDG009,7,40,70,1082754,56.79594914889032,0.4074324281155583,0.23545932459961008
